% Ceci représente la classification de critiques de films en fonction de 3 catégories de jugement (mixed, negative, positive).

@relation critiquesFilms

@attribute nom_fichier string
@attribute contenu string
@attribute classe {mixed, negative, positive}

@data
'Crimson_Peak27.txt','crimson astonishing visual enhance story co-write director encourage stand admire look be involve emotional mechanic lurid tale ',mixed
'American_Ultra11.txt','part stoner comedy midnight movie outsider love story B-movie intriguing film give real soul star director ambition end be laudable result ',mixed
'The_Intern28.txt','edge character movie ',mixed
'Scouts_Guide_to_the_Zombie_Apocalypse3.txt','genre fan close age character depict onscreen be appreciative familiar mix inspired comedy moment smart zinger gag nudity offer apocalypse ',mixed
'No_Escape11.txt','strict plausibility necessary movie throw window occasional unintended giggle ',mixed
'Our_Brand_Is_Crisis16.txt','flash insight crib reality nibble edge satire take big bite ',mixed
'Fantastic_Four12.txt','impressive young cast waste teller company proven talent give depth do force spout dialog clunky ridiculous ',mixed
'Truth28.txt','truth have feel tragedy story monumental fascinating failure journalism flip side upcoming spotlight Prize-winning investigation sexual abuse Catholic church make blood boil way filmmaker intend ',mixed
'Rock_the_Kasbah8.txt','careful make Afghan people buffoon good change fact folk cardboard character ',mixed
'Hotel_Transylvania_25.txt','film day joke please young old ',mixed
'Black_Mass37.txt','filmmaker actor fine manage solve enduring challenge make criminal interesting exalt ',mixed
'Black_Mass35.txt','valiant stab part hair thin lighten face harden forget be watch big star do impersonation spirit psychopath camera movie imaginative penetrate shell ',mixed
'Pan15.txt','movie ground old ',mixed
'Sinister_28.txt','terrifying Norwegian black metal good find sequel recent memory ',mixed
'Everest24.txt','insertion attractive star daunting landscape odd contradiction scale story inevitability ',mixed
'Hitman__Agent_474.txt','offer passable diversion action junkie everyone avoid ',mixed
'Everest35.txt','first-rate cast story take reality icebound abstract lack gravity genuine tragedy swagger first-rate adventure ',mixed
'We_Are_Your_Friends22.txt','soulful handheld try convey pensive thoughtfulness person be think much audience anyone screen ',mixed
'Straight_Outta_Compton37.txt','twisty juicy compelling story staid conventionality political thematic undercurrent be explore hope ',mixed
'Maze_Runner__The_Scorch_Trials15.txt','workmanlike handling second trilogy keep franchise run rail track be lay swamp clich ',mixed
'The_Intern30.txt','bulk morass wackiness chain sequence shoot flat predictable manner range tedious idiotic ',mixed
'American_Ultra21.txt','genre mash amusing think anything do flop deep end conspicuous gore ',mixed
'Black_Mass36.txt','account mobster be monster dark blob underworld clich bad contact lens ',mixed
'Burnt20.txt','tasteless concoction gay character misjudge forgettable ',mixed
'Goosebumps20.txt','content rating percent more visual terror expect presence scary clown trigger special MPAA rating take know be visit bed night ',mixed
'Hotel_Transylvania_214.txt','end film be edge seat due suspense due utter disdain infantile plot ',mixed
'Captive6.txt','power piece writing have capture magic make good seller ',mixed
'Maze_Runner__The_Scorch_Trials5.txt','production design effect apocalyptic terrain way par sort thing evidence high budget have first time ',mixed
'SPECTRE38.txt','drab anemic machine bring spectacle soul someone phone ',mixed
'Crimson_Peak34.txt','sheer sepulchral eye candy time year reign misfit king weirdness dust forget ',mixed
'Maze_Runner__The_Scorch_Trials22.txt','film mad dash place next little time rest recuperation plot development ',mixed
'Minions17.txt','fun tie inconsequential plot kid explode joy ',mixed
'Jem_and_the_Holograms9.txt','few sweet moment early Hologram lumbering overstuff unfocused plot have have late exploitation 1980s nostalgia grind ',mixed
'A_Walk_in_the_Woods13.txt','move delightful spend time titan cinema wobble deliver word meaningful lucky be speak ',mixed
'The_Green_Inferno3.txt','riff spaghetti flick pastiche gut gore serve wink audience strong stomach ',mixed
'A_Walk_in_the_Woods21.txt','broad barn door star minimal chemistry much way reflection mortality ',mixed
'The_Green_Inferno8.txt','many way film regression juvenile polished labor previous effort ',mixed
'The_Peanuts_Movie24.txt','homage echo heart riskless ',mixed
'Straight_Outta_Compton40.txt','clear pad thin story real-life legend be unruly dangerous filmmaker become force submission ',mixed
'Straight_Outta_Compton31.txt','straight soar hour spiral bloated melodramatic mess early ferocity capture powerful be ',mixed
'Captive7.txt','acquit hint interesting character study have be end only captive left viewer ',mixed
'The_Peanuts_Movie27.txt','good grief sincere animated feature aim contemporary kid nostalgic adult buy toy market be bill 50th anniversary gang child grandchild ',mixed
'SPECTRE40.txt','try run film elevate bond movie silly spy movie reason frustrating collapse ambition moment see entire thing burn ground ',mixed
'Fantastic_Four4.txt','short have low hurdle overcome become good FF movie fantastical aspect movie achieve goal ',mixed
'American_Ultra26.txt','brilliant unsure footing movie know be ',mixed
'No_Escape19.txt','preposterous monotonous action saga notable boast miscast lead advance geopolitical fantasy ',mixed
'Truth29.txt','ferocious performance steely genuine emotion material ',mixed
'Truth24.txt','high-class cheese fine noisy rally converted pulse race roll eye ',mixed
'Fantastic_Four15.txt','origin story origin story hollow stale feeling admirable attempt dysfunctional family ',mixed
'90_Minutes_in_Heaven2.txt','good film ',mixed
'Sinister_22.txt','sinister be ambitious good idea express dumb unmove repetitive ',mixed
'SPECTRE33.txt','plot trajectory be make everyone screen be do number ',mixed
'90_Minutes_in_Heaven0.txt','scene operate influence painkiller earnestness monotonous interest sympathy spite capable support loyal spouse ',mixed
'Goosebumps22.txt','film many memorable creation noisy sloppiness ',mixed
'A_Walk_in_the_Woods22.txt','moment movie be something existential epiphany book deal platitude be content be educational entertaining movie be more reveal much less ',mixed
'Ricki_and_the_Flash17.txt','moment interaction reach laugh poignancy feel flat force ',mixed
'Our_Brand_Is_Crisis25.txt','toothless exercise miss opportunity cautionary tale political satire insignificant ',mixed
'Ricki_and_the_Flash32.txt','seek spontaneity release character stick laboriousness want belabor effort gallant own singing play fleeting moment real fun wonder much movie go wrong ',mixed
'The_Peanuts_Movie23.txt','shiny keep kid engage new improve alienate nostalgic parent movie balance add bell whistle ',mixed
'Hotel_Transylvania_27.txt','talented director telegraph animated character think do move character way personality ',mixed
'Sinister_25.txt','sinister bit short creative resource director right entice partial original ',mixed
'War_Room1.txt','easy laugh arrant contrivance heavy-handed dialogue script pen easy admire persuasive sincerity emotional potency lead performance transcend material imbue conviction ',mixed
'Woodlawn2.txt','long involve period drama be describe equal part remember revivalist tent meeting balance tip latter final minute overall narrative mix history lesson gridiron action spiritual uplift sustain ',mixed
'Captive8.txt','actor commit frail anything worth commit ',mixed
'No_Escape21.txt','flee ',mixed
'The_Man_from_U.N.C.L.E.31.txt','get few thing go sit same time tone creative feel confident settle bad good ',mixed
'Truth26.txt','nature promising build-up prosaic ',mixed
'Sicario40.txt','much fault find level craft performance sputter momentum lack high purpose ',mixed
'Goosebumps16.txt','least dozen popular beast fiend new movie old name ',mixed
'Maze_Runner__The_Scorch_Trials7.txt','incomplete middle chapter least boring ',mixed
'Goosebumps21.txt','everyone remember nothing be gremlin ',mixed
'Maze_Runner__The_Scorch_Trials16.txt','leave gimmick clich resistance unclear resist zombie movie trope obligatory zombie bite friend scene ',mixed
'The_Intern31.txt','considerable combined charm forestall aftertaste smug life lesson ',mixed
'A_Walk_in_the_Woods11.txt','natural performance voice aura be dismiss walk sight gag fool way joke nimble delivery spot-on ',mixed
'The_Green_Inferno7.txt','savagery root retrograde myth have be easy stomach have cannibalism be position fantastical unleash retribution ',mixed
'SPECTRE43.txt','load allusion previous film franchise provide much glee bond fan nod quip general formula audience come know weary tire ',mixed
'Our_Brand_Is_Crisis15.txt','film need edge screenplay deliver unaware fault performance strength ',mixed
'Burnt5.txt','know head underhanded twist set movie right ',mixed
'Pan13.txt','have make decent musical kid choral miner kid music ',mixed
'Straight_Outta_Compton34.txt','party bland all-purpose music video more script signpost serious attempt get be young black gifted wealthy desire good story edge heavy dapple realm ',mixed
'The_Man_from_U.N.C.L.E.33.txt','style chic locale swank music cue include nod time West score fantastic bad plot lead performance lifeless ',mixed
'The_Intern27.txt','movie moment mouth stare camera right ',mixed
'American_Ultra15.txt','clever premise several opportunity least comment skew spy movie fun content generate low-grade buzz deliver true high ',mixed
'American_Ultra24.txt','meander paranoid guy front amusing most time tire ',mixed
'Burnt14.txt','doubt redemption end-game claim saving weak sauce case be argue ',mixed
'Burnt12.txt','tale redemption big screen equivalent sleek well-light trendy restaurant serve creative dish predictable menu ',mixed
'Black_Mass34.txt','grim appearance grim behaviour quiet complicated subtle pleasure ',mixed
'Rock_the_Kasbah3.txt','oddball script direct long bring kind flesh dynamic story ',mixed
'SPECTRE35.txt','familiarity pleasure confused inert sell signature bond stir line ',mixed
'Our_Brand_Is_Crisis27.txt','have solid arty cinema career go life hit right tone film waterlogged be jaunty cynicism sentimentality keep length ',mixed
'The_Walk36.txt','patchy wire 3D touching tribute ',mixed
'Goosebumps14.txt','film base book silly goofy scary little poignant lot fun ',mixed
'Ricki_and_the_Flash27.txt','film many first-rate artist corner work matter style script make tin ',mixed
'The_Intern13.txt','idiotic unrealistic wish fulfillment business work level enjoy ',mixed
'Rock_the_Kasbah13.txt','mainstream comedy boast much talent be amateurish point humor secondary problem more press storytelling incoherence ',mixed
'SPECTRE39.txt','watch unfold lumber slumber heel franchise high shock much talent coast time ',mixed
'Hotel_Transylvania_212.txt','brand obvious humor mind noticeable product placement inoffensive sequel predecessor treat ',mixed
'Fantastic_Four3.txt','be dumb superhero action flick try turn realistic drama director pair screenwriter create comic book movie short humour action ',mixed
'No_Escape10.txt','xenophobic claptrap high order ',mixed
'Jem_and_the_Holograms7.txt','screenwriter take fame fascinating most film drab slow drama ',mixed
'Our_Brand_Is_Crisis21.txt','eclectic director trouble tone cynicism evolve something useful film reason be convincing ',mixed
'SPECTRE37.txt','open credit movie suppose be silly start orgasmic level kitsch ',mixed
'The_Visit19.txt','time time laugh odd action snicker mental illness interesting take simple tale ',mixed
'Goosebumps23.txt','shred cleverness be find predictability ',mixed
'Burnt10.txt','montage mesmerize couple solid twist education sous-vide trend ',mixed
'American_Ultra22.txt','action comedic character scene film be take turn bring meaningful way ',mixed
'Ricki_and_the_Flash28.txt','movie divide sensibility writer director fall muddy gap ',mixed
'Everest31.txt','hardship trek portray storm crucial leap screen bone ',mixed
'Burnt13.txt','food be say beautiful be consultant film shortcoming role write be good movie ',mixed
'Burnt7.txt','real issue everything journey digest toss see be first time ',mixed
'Scouts_Guide_to_the_Zombie_Apocalypse7.txt','plus side film high energy move zombie gore effect fun reach height climactic battle none scary predictable ',mixed
'Rock_the_Kasbah10.txt','gap hipster comedy star incipient sentimentality story depressing reality setting provide tonal abyss vast bridge amusing problematic mish-mash rough rocky road ',mixed
'Everest36.txt','impossible be catch climber life-or-death struggle horrific scenario underwhelming distance way ',mixed
'Black_Mass39.txt','direction skillful reliant borrowed music cast first-rate film muddle secondhand attitude half-baked idea more costume party costume drama ',mixed
'Burnt6.txt','director conscience screenwriter fact capable first-rate work minor surprise attractive detail way ',mixed
'Ricki_and_the_Flash25.txt','only have put microphone let sing have have chance ',mixed
'The_Walk40.txt','story unbelievable understandable choose leave subtlety door approach film tension crucial moment ',mixed
'Hotel_Transylvania_211.txt','nice message inclusion crowd big dumb action scene end ',mixed
'The_Transporter_Refueled10.txt','collaborator devise few nifty sequence ',mixed
'Fantastic_Four1.txt','first fun shiny leave crumpled mess floor ',mixed
'The_Visit17.txt','fun kind crazy intense be ',mixed
'Our_Brand_Is_Crisis12.txt','cute while star pro scene stage character breathe distance other snap ',mixed
'Crimson_Peak28.txt','actor melodrama fever pitch life weight intensity bauble smear slickness ',mixed
'Fantastic_Four13.txt','model adventure pulp junk scene medical horror scary kid unpleasant be enjoy anyone ',mixed
'The_Martian44.txt','new movie fascinating charming cram overstuff curious case hard thing point have be easy ',mixed
'Maze_Runner__The_Scorch_Trials10.txt','thematic level reprehensible fraudulent piece entertainment least good film day good deal energy ',mixed
'The_Green_Inferno5.txt','film notion white supremacy such try peddle see replicate formula fact ',mixed
'We_Are_Your_Friends11.txt','convincing bid movie stardom pretty face flawed entertaining film bit end ',mixed
'Black_Mass30.txt','movie absorb play snarl hero have much time ordinary folk end gasp air ',mixed
'The_Man_from_U.N.C.L.E.18.txt','flaunt ware store clerk fawn clothes chair car usual pace crawl actor lot word talent make body car crash space ',mixed
'A_Walk_in_the_Woods18.txt','difficult picture watch chance enjoy couple veteran actor book comic tone find comfortable equivalent screen ',mixed
'Minions23.txt','comedy narrative demand more rhythm simply scamper jabber fall minion table ',mixed
'The_Visit22.txt','be someone first film be okay small sign life annoy film dreadful be late work guy make first impression general public stick gun refuse compromise voice unthinkable ',mixed
'A_Walk_in_the_Woods16.txt','nature fantasy feel-good ',mixed
'The_Intern21.txt','know obsession kitchen sun-drenched chic architectural marvel safe haven character new spin trope kitchen ',mixed
'Ricki_and_the_Flash15.txt','film catnap afternoon dream world logic screwy ',mixed
'Truth31.txt','present tale light comic touch early stage tone picture overcome final third ',mixed
'The_Perfect_Guy4.txt','ominous stare inconsistent character boilerplate stalker story more less ',mixed
'Captive3.txt','drama clunky flat taut visceral performance ',mixed
'Rock_the_Kasbah5.txt','project misguide star mug shrug way consider top bottom list ',mixed
'Hotel_Transylvania_26.txt','minor be sure give recent work pleasant surprise ',mixed
'Maze_Runner__The_Scorch_Trials17.txt','start sprint good long stretch catch breath ',mixed
'The_Intern12.txt','expect material assurance charm fun be have dynamic film heart ',mixed
'The_Visit23.txt','amusing horror comedy surprise twist hint heart ',mixed
'The_Peanuts_Movie21.txt','movie pleasant charming make big-screen adaptation beloved classic genuine touchstone generation adequate feel enough ',mixed
'The_Man_from_U.N.C.L.E.19.txt','good-looking film hold attention plot lack narrative drive undercut man overall charm ',mixed
'The_Walk37.txt','recreate crime director crackerjack job thrill so-so laugh least intentional one deep magic ',mixed
'We_Are_Your_Friends20.txt','friend heart right place shrewd cuddly get few like be good movie sustain sort trancelike sonic ecstasy fan fanatic ',mixed
'Fantastic_Four6.txt','home run No. point comic fan happy see play error-free ball adaptation ',mixed
'Scouts_Guide_to_the_Zombie_Apocalypse4.txt','everyone rating folk teen humor splatter zombie gut be disappoint ',mixed
'Burnt8.txt','structure story personal demon culinary competition couple nice twist throw build material point life cycle genre shopworn ',mixed
'Pan8.txt','entertaining plenty color action inventive effect unhinge performance great terrible captivate way magic ',mixed
'Pan14.txt','movie bit twinkle pirate pixie dust stay fresh relevant people have snort ',mixed
'SPECTRE42.txt','individual stunt action set piece interest story convince own term play series box bond asking martini shake stir be check forget ',mixed
'We_Are_Your_Friends15.txt','film emotion flash light pulse soundtrack music be entire time story flat ',mixed
'The_Last_Witch_Hunter8.txt','last pulpy comic-book fun fleet funny detailed be look something middle term plot character action sequence need seek ',mixed
'American_Ultra10.txt','head trip ambitious long-haired pothead main character sole goal entertain surprise ',mixed
'Hitman__Agent_472.txt','director project competent precision film rise genre plot muddle basic element chilly European style ',mixed
'The_Walk39.txt','direct script co-wrote film first act put time big moment ',mixed
'Paranormal_Activity__The_Ghost_Dimension1.txt','bitter end series wring fun something other invade something familiar ',mixed
'Goosebumps18.txt','guess say satisfy core audience fan popular child book bear much everyone ',mixed
'Minions29.txt','OK time delightful minion add ',mixed
'Steve_Jobs43.txt','screenwriter signature dialogue nonstop blare chop movie large nothing commit ',mixed
'Maze_Runner__The_Scorch_Trials13.txt','selfish oldster scheme rob young people vital essence sacrifice process movie ',mixed
'Ricki_and_the_Flash29.txt','mistake regret course redemption little neat familiar convenient belt end ',mixed
'Crimson_Peak31.txt','ghostly element red black spook wail warning receptive aim atmosphere story crumble English manor ',mixed
'Everest27.txt','splendid few point murkiness render main character distinct individual ',mixed
'Underdogs3.txt','kid experience withdrawal symptom be entertain animated oddity ',mixed
'Burnt21.txt','movie dull focused ',mixed
'The_Green_Inferno4.txt','co-star aftershock fine genre actress stand cast blonde woman naturalistic performance sign courage initiative ',mixed
'Everest37.txt','frustrating movie many way lurch shock deliver many be hope engaging character powerful character ',mixed
'We_Are_Your_Friends18.txt','talk mediocre friend update good movie liberal sprinkling plot element terrible movie call cocktail ',mixed
'Minions26.txt','minion endear previous movie few bumble find true love sidekick matter loveable material ',mixed
'Burnt17.txt','do kind golden boy shtick sleep make pleasurable watch flash baby blue fiery temper actor engage performance forgive laziness ',mixed
'A_Walk_in_the_Woods12.txt','interesting check codger ',mixed
'The_Visit24.txt','marketable slice hit-and-miss mischief career rebirth side project yield more way nervous laughter quicken pulse ',mixed
'Hitman__Agent_475.txt','delve story own risk embrace unrepentant stupidity Zen-like joy be find adolescent violence ',mixed
'Crimson_Peak35.txt','color symbolism ravishing disappointing surface substance sink weight own self-importance sanguine muck ',mixed
'No_Escape13.txt','stay step misguided politics dramatic storytelling own preposterous climactic denouement ',mixed
'The_Green_Inferno9.txt','unbridled shock value match similar investment other ingredient have make low rent B-movie worthwhile ',mixed
'The_Perfect_Guy3.txt','serious imperfection soapy escapism provide least opportune time ',mixed
'Ricki_and_the_Flash20.txt','classic lamentable news proposition good news department sturdy enjoyable domestic comedy drama ',mixed
'The_Man_from_U.N.C.L.E.28.txt','period spy thriller man engaging amusing portion movie frustrating cushion enervate befuddle indifferent stuff ',mixed
'Hotel_Transylvania_215.txt','put stake do ',mixed
'Scouts_Guide_to_the_Zombie_Apocalypse1.txt','likable high count ',mixed
'The_Intern19.txt','nobody pleasing funny escapist entertainment rich people try good do right thing good ',mixed
'Jem_and_the_Holograms10.txt','odd series regular film watchable deliver capable star turn enough flash soul belie artifice credible pop vocal boot ',mixed
'The_Visit25.txt','many movie more get ',mixed
'The_Man_from_U.N.C.L.E.30.txt','play robot recent worthwhile be lively time human picture man ',mixed
'Scouts_Guide_to_the_Zombie_Apocalypse6.txt','gross-out sight boy find hilarious ',mixed
'American_Ultra20.txt','earnest unsatisfy adaptation cult graphic novel most charm lose translation ',mixed
'The_Martian45.txt','film idea texture tic human behavior conviction real push eccentricity ',mixed
'American_Ultra18.txt','appeal last movie much ',mixed
'Maze_Runner__The_Scorch_Trials23.txt','second installment reason imprisonment similar sense originality urgency undercut familiar characterization dilatory pace ',mixed
'Jem_and_the_Holograms6.txt','fan cartoon stick sequence dastardly rival band good scene set sequel see ',mixed
'Crimson_Peak33.txt','film occasional burst ooze red clay cry red tear flaming crimson ball gown infuse gorgeous bore anything red-blooded suspense ',mixed
'Rock_the_Kasbah15.txt','full mode little effect sassy camp follower hoot many bizarre subplot fall place ',mixed
'No_Escape15.txt','serve horrific string choice situation breathless chase brutal violence ',mixed
'The_Green_Inferno6.txt','blood-soaked promotional snuff film deforestation ',mixed
'Ricki_and_the_Flash23.txt','actor incapable make false move mean incapable make false movie ',mixed
'Burnt11.txt','action simple conversation harry shot suffice many montage cut pace same numb rhythm ',mixed
'Everest34.txt','feature film Everest soar visual distant second term storytelling depth narrative impact ',mixed
'A_Walk_in_the_Woods8.txt','superficial watchable very definition classy fluff ',mixed
'Pan10.txt','deny ambitious fairy tale be label original adventure new mind necessary ',mixed
'The_Last_Witch_Hunter6.txt','rumble line silly dialogue voice act go much ',mixed
'Fantastic_Four2.txt','overstate thing say star remember last time actor appear invest movie team ',mixed
'Everest26.txt','sprawling mess movie have be great place wind be good ',mixed
'Truth27.txt','film dodgy tentative uncertain frame own protagonist complicated story journalistic compromise ',mixed
'Maze_Runner__The_Scorch_Trials18.txt','more action less mystery return director main cast handful sketchy new character efficient uninspire sequel ',mixed
'The_Visit27.txt','have difficulty director late understandable hope place realm low budget more manageable expectation impress be case time ',mixed
'Crimson_Peak30.txt','crimson feeling bit make-work project keep visionary filmmaker busy something passion ',mixed
'No_Escape20.txt','make case be good film first half good second half range bad awful deny have enjoy bit zombie film mind suppose be international thriller contemporary political significance ',mixed
'Sinister_24.txt','visual stake heighten absurd degree death slide realm ridiculousness ',mixed
'Maze_Runner__The_Scorch_Trials20.txt','adaptation second book author popular series exact opposite predecessor present sprawling adventure crib more illustrious sci-fi forefather plentiful time flesh dull detail scenario ',mixed
'The_Walk38.txt','less sum part part good ignore ',mixed
'Sinister_21.txt','story begin effective more unnecessary retread organic extension original ',mixed
'The_Intern17.txt','portrait strong independent woman learn embrace own ambition desire future aid old male triumphant fantasy female empowerment conservative paternalistic shade ',mixed
'Minions20.txt','question minion movie mischievous origin story be harmless despicable welcome way ',mixed
'The_Intern18.txt','degenerate series monologue ambition relationship have speech goodwill magic ',mixed
'Woodlawn1.txt','take heart Christian sport drama distance adhere inspirational movie playbook ',mixed
'Straight_Outta_Compton33.txt','rivet weary up-to-the-minute relevant self-indulgent much heroic origin story anything factory juggle more story line mood handle ',mixed
'Minions21.txt','episodic stream slapstick gag minion moment piquant absurdity anarchy visual sugar rush preschool set ',mixed
'The_Transporter_Refueled6.txt','stupid stupid stupid chuckle know silliness sort low-rent franchise deadpan self-awareness legitimize ridiculousness previous film ',mixed
'No_Escape14.txt','seed social justice emotional nuance be attempt sow undercut melodramatic family value ',mixed
'Captive2.txt','minimal attempt broaden scope time ',mixed
'Hotel_Transylvania_213.txt','young crowd work sentence awful lazy live-action fare feed fan year say get easy ',mixed
'Pan9.txt','conceive irreverent over-serious chock-full strained reference environmentalism drug other thing creepy violence elaborate flight fancy vision compelling spot ',mixed
'Steve_Jobs42.txt','difficult intricate fantasy acknowledge darkness set hope see real man inspire ',mixed
'Hitman__Agent_476.txt','end door leave sequel character get be franchise hero film lack personality ',mixed
'Steve_Jobs41.txt','heighten sense drama good stake align film inform important everything difficult care take place ',mixed
'Ricki_and_the_Flash16.txt','emotional intensity due performance sympathetic get depth ',mixed
'No_Escape18.txt','illegible chase scene awkward slow-motion shot fumble attempt political commentary be interesting thank off-beat support turn ',mixed
'The_Diary_of_a_Teenage_Girl34.txt','material be limit movie think take moral stance tantamount sell be right other respect wrong ',mixed
'Jem_and_the_Holograms5.txt','credit work legitimize halcyon recollection make material relevant new generation ',mixed
'The_Martian43.txt','wide-eyed tribute human ingenuity enough pull black hole earnestness fuel partway ',mixed
'Maze_Runner__The_Scorch_Trials6.txt','scorch world mixed result gripping action so-so script ',mixed
'The_Man_from_U.N.C.L.E.32.txt','look great problem Everything ',mixed
'Captive10.txt','bring humanity tension testimonial thriller lose soul find way burst hamper marketing copy masquerade dialogue ',mixed
'Goosebumps25.txt','overload combine approach horror real danger monster scary result disposable product intend appeal everyone likely resonate ',mixed
'The_Transporter_Refueled5.txt','goofiness serviceable replacement capable execute elaborate martial fight move glower wheel car act cold detached heart gold ',mixed
'Minions28.txt','minion idiosyncratic root franchise play way own movie something love be young ',mixed
'Paranormal_Activity__The_Ghost_Dimension4.txt','activity movie be sensation narrative secondary fortunate seek closure continuity be go disappoint ',mixed
'The_Visit21.txt','reach sense unbreakable height scriptwriting lively see year sense humor be miss good work time be poke good-natured fun own reputation ',mixed
'Fantastic_Four9.txt','debut feature put smart new spin superhero trope assemble quartet engaging charismatic performer strand miasma exposition set-up movie ',mixed
'90_Minutes_in_Heaven1.txt','Christian film genre dramatic leap well-appointed work base bestseller change look sound be write perform record church basement ',mixed
'Ricki_and_the_Flash21.txt','news come relief role have try movie have be make ',mixed
'Goosebumps19.txt','movie toy chest character more medium muggy include ',mixed
'The_Man_from_U.N.C.L.E.17.txt','work hit requisite number hip note dazzle kind surprise ',mixed
'The_Peanuts_Movie25.txt','film modest visual formula playground courtesy animation studio ',mixed
'The_Intern23.txt','content make nice movie nice people do good be nice other thing way nice stuff potent rousing entertainment ',mixed
'Fantastic_Four18.txt','superhero franchise film half first likeable fun second tiresome loud ',mixed
'Our_Brand_Is_Crisis17.txt','movie stick edgy drama broad comedy most humor land thud ',mixed
'The_Last_Witch_Hunter9.txt','star last big overblown incomprehensible ',mixed
'Sicario37.txt','impress own nihilism involve grown-up film director muscular technique impress call pulp same manner plate mince meat ',mixed
'Minions27.txt','minion product pure simple little kid love grown-up feel be hold hostage test laboratory ',mixed
'Ricki_and_the_Flash33.txt','story lot bar band cover mediocrity film ',mixed
