% Ceci represente la classification de critiques de films en fonction de leur jugement.

@relation critiques
@attribute contenu string
@attribute classe {positive, mixed, negative}

@data
'make see evil come also rob most potent study little hint be about go horribly horribly wrong sentient be poor ',mixed
'be hard shake be play almost as be try replicate have give same long roll grasp ideally distracting ',mixed
'be perilous vertiginous be remember much more ',mixed
'deftly make divert young unlikely linger temper ',mixed
'relentlessly feel start appear more lose much rangy ',mixed
'crimson astonishing do n\'t enhance co-write overwhelm encourage stand back admire be involve emotional lurid ',mixed
'intriguing be give real even end be more laudable ',mixed
'be ',mixed
'close depict be appreciative enjoyably familiar inspired smart offer ',mixed
'strict be n\'t necessary do n\'t completely throw still inspire occasional unintended ',mixed
'show crib nibble ever take big ',mixed
'impressive young be mostly waste proven be give little do force spout range ridiculous ',mixed
'impossible have find popular old modern be immerse jazzy be mostly tedious fleeting ',mixed
'have feel monumental fascinating flip upcoming Prize-winning sexual Catholic instead want make succeed not intend ',mixed
'be careful not make Afghan be good do n\'t change be cardboard ',mixed
'unusually be please young old ',mixed
'even have n\'t manage solve most enduring make interesting exalt ',mixed
'make valiant even thin lighten harden remain never forget be watch big do be as resist maybe be n\'t imaginative enough penetrate ',mixed
'barely get get old quickly ',mixed
'not as terrifying Norwegian black still good find recent ',mixed
'attractive daunting make odd unfold ',mixed
'offer passable else be well avoid ',mixed
'assemble first-rate take feel icebound strangely abstract lack genuine first-rate ',mixed
'as be there soulful try convey pensive not be think much catch long ',mixed
'twisty juicy compelling remain staid keep political thematic be explore as satisfyingly hope ',mixed
'workmanlike prove mainly keep run completely have be lay perilously ',mixed
'be shoot flat predictable tedious idiotic ',mixed
'be mildly amusing n\'t think else do deep conspicuous ',mixed
'be be exactly play dark bad ',mixed
'tasteless gay be particularly misjudge be instantly forgettable ',mixed
'fall squarely provide about more visual be probably expect plus scary automatically trigger special take know be visit now ',mixed
'be absolutely not due due utter infantile plot ',mixed
'have fail capture hope make good ',mixed
'apocalyptic be much high have first around ',mixed
'drab anemic bring lack get ',mixed
'sheer sepulchral most leave reign well-nigh forget ',mixed
'be mad next little ',mixed
'tie pretty inconsequential explode ',mixed
'be few sweet early then overstuff unfocused show high hope have have late be slowly grind away ',mixed
'be unexpectedly move occasionally delightful spend walk sometimes deliver become meaningful be lucky enough be speak ',mixed
'be less splatter serve strong know be ',mixed
'walk be broad have minimal be not much ',mixed
'many feel be more juvenile less polished feel less labor previous ',mixed
'be n\'t so much be certainly have also feel dispiritingly riskless ',mixed
'be clear be once too pad too thin be as real-life be so unruly dangerous become cop force ',mixed
'straight spiral bloated melodramatic still be worth early capture just powerful really be ',mixed
'lead acquit relatively well here hint interesting have be only captive be ',mixed
'good painfully sincere animated seem aim less contemporary nostalgic buy market be be bill 50th ',mixed
'have try elevate be more just acceptably silly be so frustrating be feel be see entire ',mixed
'short have very low overcome become good so far most fantastical be not achieve ',mixed
'unfortunately frequently brilliant be unsure here simply do n\'t know want be ',mixed
'have get few go be not sit same creative register never feel confident settle be not bad not quite good enough either ',mixed
'preposterous monotonous primarily notable boast miscast advance geopolitical ',mixed
'give ferocious steely mine genuine ',mixed
'high-class go slip down fine be noisy converted get race even be roll ',mixed
'be be hollow stale occasionally admirable dysfunctional ',mixed
'be good there ',mixed
'sinister be ambitious good be be express dumb unmove repetitive ',mixed
'change so often seem be make go along seem be do ',mixed
'underplay even be n\'t operate often come as monotonous still generate almost lend capable loyal ',mixed
'assemble many most memorable noisy ',mixed
'try be deeper existential perhaps do n\'t deal be content be lightly educational mostly just entertaining aspire be more only reveal much less really be ',mixed
'even reach too often feel flat force ',mixed
'add toothless miss be cautionary political oddly insignificant ',mixed
'seek get stick do n\'t want belabor be gallant do own play be fleeting real still be hard not wonder so much go so wrong ',mixed
'look shiny enough keep engage not so new improve alienate nostalgic strike add here there ',mixed
'be n\'t hold together entire seem emphasize ',mixed
'be talented know telegraph animated be think do move suggest ',mixed
'sinister come short creative probably get enough right entice partial ',mixed
'be easy laugh arrant heavy-handed pen be even easy admire persuasive emotional lead do not transcend so much as imbue ',mixed
'overly long yet consistently involve be describe accurately equal remember revivalist rather too blatantly final overall narrative spiritual be effectively satisfyingly sustain ',mixed
'be commit generally appear frail indeed be barely commit ',mixed
'be no flee ',mixed
'be promising prosaic ',mixed
'be good-looking lead hold yet plot narrative undercut overall ',mixed
'be mildly pleasant amusing light be n\'t exactly save yet cross blow even modest ',mixed
'be not much find just rather sputter high ',mixed
'revive least most popular new rarely recall old be name ',mixed
'be woefully incomplete middle least be never boring ',mixed
'remember be be kinda ',mixed
'leave wander be be unclear be resist obligatory bite ',mixed
'take considerable combined forestall smug ',mixed
'perfectly describe too be dismiss walk do n\'t let be nimble be spot-on ',mixed
'here be root retrograde have be easy have be position fantastical unleash ',mixed
'be load previous undoubtedly provide much general have come know soon become weary tire however ',mixed
'be fail deliver seem blissfully unaware deliver expertly play ',mixed
'just think know be head be underhanded about halfway be almost enough set ',mixed
'have make decent aside choral be ',mixed
'party be as bland all-purpose feel more serious get mean be young black gifted fabulously wealthy much desire do far good heavy more dapple ',mixed
'own open be stare ',mixed
'have clever miss several least comment not skew only halfheartedly poke be be content generate rather deliver true ',mixed
'be as meander paranoid sometimes be amusing most be tire ',mixed
'be never be be weak have be too emphatically unintentionally argue ',mixed
'often big be sleek well-light trendy serve mildly creative otherwise predictable ',mixed
'be grim even grim indulge be quiet more complicated offer subtle ',mixed
'oddball as direct take so long bring together deprive fully flesh dynamic so desperately need ',mixed
'be not be so confused inert n\'t even sell not stir ',mixed
'once have solid arty go hit right here be waterlogged be jaunty be keep ',mixed
'patchy only thrill finally step still 3D be touching ',mixed
'base pretty much all be silly goofy little scary little poignant ',mixed
'do so many first-rate not quite work partly be mostly be be make ',mixed
'be idiotic unrealistic have work quite enjoy ',mixed
'rarely have mainstream boast much be so structurally amateurish seem secondary more press ',mixed
'watch unfold lumber slumber be so much coast ',mixed
'enjoy obvious do n\'t mind noticeable inoffensive be just enough ',mixed
'apparently do n\'t want be dumb try turn movingly realistic never succeed create instead comic be bizarrely short ',mixed
'be xenophobic high ',mixed
'be more fascinating most drab slow ',mixed
'be eclectic have here be not n\'t evolve more useful be be more convincing ',mixed
'know open be suppose be silly achieve almost orgasmic ',mixed
'competently scare make laugh uncomfortably odd be n\'t snicker mental have nowhere interesting take simple ',mixed
'be hardly be find ',mixed
'swagger as convincingly always be mesmerize even get solid ',mixed
'comedic seem be take be rarely bring together meaningful ',mixed
'seem equally divide end fall muddy ',mixed
'be vividly portray particularly set never make crucial ',mixed
'be say be beautiful be write go so do be good be ',mixed
'real be feel digest toss back up have see be well first ',mixed
'plus be high quickly be reach nearly splatter climactic be really scary though especially be so predictable ',mixed
'incipient gravely depressing provide tonal simply too vast intermittently amusing dramatically problematic careen rough rocky ',mixed
'be impossible not be somewhat catch be oddly depict horrific underwhelming distance ',mixed
'be skillful overly reliant borrowed especially come be first-rate be secondhand half-baked feel more costume costume ',mixed
'be be capable first-rate pack minor attractive ',mixed
'only have put let sing have have ',mixed
'tell be admittedly unbelievable so be understandable choose leave sadly strip especially crucial ',mixed
'be nice be crowd big dumb ',mixed
'have devise few nifty ',mixed
'first be shiny then be leave crumpled ',mixed
'be crazy be undeniably admirably intense need be ',mixed
'be cute be often stage so be breathe other have snap ',mixed
'work hard hit lurch overall lack smear ',mixed
'here be n\'t be junk medical too scary too unpleasant be enjoy ',mixed
'new be fascinating charming cram overstuff be curious too get seemingly hard wonderfully right then cave have be easy ',mixed
'thematic remain wholly reprehensible fraudulent least rip good good ',mixed
'white such be surely not try peddle be merely see replicate do fairly slickly ',mixed
'make convincing prove be more just pretty flawed fitfully entertaining even all go ',mixed
'be often absorb skillfully play snarl do n\'t have much ordinary be left gasp ',mixed
'be not difficult watch all want walk honestly be enjoy veteran comic have n\'t find comfortable ',mixed
'more simply be bring ',mixed
'be first be okay small make merely annoy instead completely dreadful be late make first general stick refuse compromise unthinkable ',mixed
'be boringly feel-good ',mixed
'be know sun-drenched timelessly chic architectural provide safe put new be ',mixed
'play catnap recognize yet be screwy ',mixed
'choose present light comic early be n\'t overcome final ',mixed
'have very ominous sell inconsistent pretty well be still just proceed more less suspect ',mixed
'though much be flat taut visceral never err ',mixed
'be just too misguide mug shrug consider ',mixed
'be minor be sure give recent still count pleasant ',mixed
'hurtle good long stop catch ',mixed
'be sensuous snappy elegant dapper kinetic so-so seem even less concerned usual very nearly work ',mixed
'expect handle be be have ',mixed
'lightly amusing promise ',mixed
'be pleasant charming make beloved classic genuine adequate do n\'t feel quite enough ',mixed
'recreate do crackerjack so-so least intentional skip deep altogether ',mixed
'be have right be shrewd cuddly enough get few be infinitely good sustain trancelike sonic turn ',mixed
'be comic be just happy see play error-free mostly qualify ',mixed
'be not gleefully earn enjoy teen splatter n\'t be disappoint ',mixed
'follow be decently structure personal culinary nice throw be build be mighty shopworn ',mixed
'be not be n\'t entertaining be inventive unhinge be either gloriously great gloriously terrible captivate be though ',mixed
'give breathe stay fresh relevant maybe have snort ',mixed
'individual temporarily hold be not convince own play shake not stir need be check forget ',mixed
'fake flash pulse realize be entire fall flat ',mixed
'last aim pulpy be never funny detailed need be be look middle even need seek elsewhere ',mixed
'be no more ambitious long-haired main deliver sole entertain surprise ',mixed
'handle competent do n\'t rise be muddle pull basic distinctly chilly European ',mixed
'direct limp first put big ',mixed
'bitter manage wring solid scare other invade utterly familiar ',mixed
'say satisfy core popular bear pretty much else ',mixed
'be perfectly OK even delightful do n\'t add ',mixed
'allow blare large be not commit ',mixed
'selfish rob young vital sacrifice be basically ',mixed
'be feel little too neat familiar convenient even be quite belt ',mixed
'get ghostly right red black wail receptive go wildly overboard aim shift crumble English ',mixed
'be visually splendid lose few render main distinct ',mixed
'still experience be entertain animated ',mixed
'get dull less focused wear ',mixed
'co-star be fine stand blonde naturalistic ',mixed
'be frustrating many do n\'t quite deliver thrill many be hope moderately engaging mean be centrally powerful ',mixed
'mediocre much be play very good liberal quite terrible call ',mixed
'be n\'t endear be previous maybe be few bumble maybe just have n\'t find true yet maybe loveable just be n\'t ',mixed
'do golden do n\'t make less pleasurable watch flash fiery give fully engage almost make want forgive almost ',mixed
'walk be certainly be interesting check ',mixed
'marketable hit-and-miss do n\'t suggest so much yield more nervous quicken ',mixed
'delve own embrace unrepentant all be Zen-like be find adolescent ',mixed
'aflame awash undeniably ravishing yet ultimately disappointing be sink own sanguine below ',mixed
'unfortunately n\'t stay ahead misguided overly dramatic crumble own preposterous climactic ',mixed
'unfortunately unbridled be n\'t match similar other have make low worthwhile ',mixed
'serious soapy provide least arrive opportune ',mixed
'classic classically lamentable good be largely sturdy enjoyable domestic ',mixed
'well put be do ',mixed
'likable satisfyingly high splatter ',mixed
'do visually pleasing occasionally funny rich try good do right good ',mixed
'regular keep watchable deliver capable enough belie credible boot ',mixed
'be not so many be more be be have get ',mixed
'double down gross-out gag find hilarious else ',mixed
'too often play yet unsatisfy graphic most lose ',mixed
'go human be real ',mixed
'stay appeal last not so much ',mixed
'second reveal lack similar undercut overly familiar dilatory pace ',mixed
'stick introduce dastardly rival be good set never see ',mixed
'not even occasional endlessly ooze red cry red flaming crimson infuse gorgeous red-blooded ',mixed
'show full little sassy be be just too many narratively bizarre fall ',mixed
'serve horrific breathless brutal ',mixed
'blood-soaked practically end promotional ',mixed
'be incapable make false do n\'t mean be incapable make false ',mixed
'dice even simple harry suffice many be cut pace same numb ',mixed
'provide soar be distant storytelling narrative ',mixed
'almost work actually do hit requisite hip just do n\'t dazzle be ',mixed
'ultimately superficial yet watchable be very classy ',mixed
'be no deny be ambitious be be label wholly original feel far new never mind necessary ',mixed
'do do rumble silly as far act be not much ',mixed
'be overstate say be n\'t remember last appear less invest have team ',mixed
'be sprawling feel have be great instead roam up be just pretty good ',mixed
'feel dodgy tentative uncertain as frame own complicated journalistic ',mixed
'more less return main sketchy new make efficient uninspire ',mixed
'have have late be understandable hope place back low more manageable impress yet again turn not be ',mixed
'crimson end keep visionary busy truly spark come ',mixed
'n\'t make be good first be pretty good second pretty bad truly awful deny have enjoy quite never mind be suppose be international contemporary political ',mixed
'visual be heighten here absurd slide ',mixed
'second popular be exact present sprawling not liberally crib more illustrious spend plentiful flesh dull ',mixed
'walk be much less be so good n\'t ignore ',mixed
'continue begin creepily effective feel more unnecessary organic original ',mixed
'strong independent learn embrace own old male color triumphant female distinctly conservative paternalistic ',mixed
'be carry all mischievous not be utterly harmless far despicable wear welcome too soon ',mixed
'have all pile dissipate so do ',mixed
'take pass be heavily Christian almost go adhere closely inspirational ',mixed
'alternately rivet weary up-to-the-minute relevant as well self-indulgent much heroic end juggle more handle ',mixed
'episodic have piquant mostly be visual preschool ',mixed
'stupid stupid stupid certainly know even chuckle contentedly know be be here also miss deadpan somehow legitimize previous ',mixed
'social emotional be attempt sow be undercut melodramatic ',mixed
'largely succeed stumble minimal broaden together ',mixed
'skew very young well enough be awful lazy have feed say get off easy ',mixed
'once thinly conceive maddeningly irreverent over-serious chock-full strained other creepy be elaborate make strangely compelling ',mixed
'be most difficult intricate be not acknowledge set see real inspire ',mixed
'be leave do n\'t feel have get take be be lack ',mixed
'heavily heighten work good be equally align constantly inform just incredibly important be be disappointingly difficult truly care about be take ',mixed
'emotional creep be all due be sympathetic get ',mixed
'illegible awkward slow-motion fumble political manage be intermittently interesting off-beat support ',mixed
'be not be be be n\'t exactly think take moral be tantamount sell commercially be right other be wrong ',mixed
'do work hard not only legitimize halcyon also make relevant new ',mixed
'great sound great be else ',mixed
'wide-eyed human pack enough pull black even run partway ',mixed
'scorch ambitiously open mixed gripping so-so ',mixed
'try bring testimonial lose find together only succeed hamper masquerade ',mixed
'combine understandably be ever real be never too scary disposable intend appeal likely resonate no ',mixed
'prove serviceable capable execute elaborate martial glower generally act cold detached deep down have ',mixed
'have idiosyncratic be play finally even have own mechanically cash love be young ',mixed
'have always be narrative secondary be fortunate seek have be go home mostly disappoint ',mixed
'do n\'t reach unbreakable be lively have see be be miss even good seem be poke good-natured own ',mixed
'put smart new have assemble engaging charismatic strand sink ',mixed
'Christian take dramatic forward well-appointed base do n\'t look sound as be write perform record ',mixed
'finally really come here be not have try not have be make ',mixed
'more often not use toy more muggy include ',mixed
'disappointingly ditch modest visual ',mixed
'seem make nice nice do good be nice other happen be very nice not particularly potent rousing ',mixed
'be first likeable second tiresome loud ',mixed
'unfortunately get stick edgy broad most ',mixed
'last be big overblown frequently incomprehensible ',mixed
'occasionally seem little too impress own still be involve grown-up muscular continue impress call same mince ',mixed
'be pure simple little love feel be be hold ',mixed
'here go loud cover sing though so do ',mixed
'first be moderately entertaining reliably ludicrous predictable new do n\'t possess effortless stoic original end make ',mixed
'haphazard be make more frustrating somewhere be much more resonant ',mixed
'fashion have produce thin reduce rather amplify famous ',mixed
'be about admittedly first-rate drown political ',mixed
'comic allow write write key emotional late ramble first swell two-hour ',mixed
'unbalanced never less entertaining enthrall deflate roughly equal stud true ',mixed
'be romantic ',mixed
'be energize mouth-watering unsurprisingly fierce pour hold force fine include function less motley ',mixed
'have appreciate fleeting here ',mixed
'promising effective low-budget still be own bad make bring ',mixed
'aside few outré symbolically charge be little distinguish overlong ',mixed
'sorry 66-year-old gyrate have block rational be frightening temporary bad ',mixed
'blasted be impressive hardly spend sit watch underdeveloped get chase inordinate ',mixed
'mere clever be n\'t enough here smell stale stale be have n\'t see before feel fresh new suggest save stream lazy even then deep need be awake be ',mixed
'occasionally be entrance euphoric pulsate even empathetic impressive nuanced n\'t distract surface probe ',mixed
'be only partly be mostly few take uncontrollable be confident swagger not despair be elaborate be be almost totally lack ',mixed
'be visually inventive enough good smart never be entirely dismissible not strong enough overcome essential ',mixed
'big do n\'t quite be hard make mix look still n\'t wait be get ',mixed
'there see reprise just be perfect there go again evilly suck decent now come let be grab ',mixed
'be almost mount be dispel monotonously downbeat conspicuous look be have be infectious ',mixed
'appealing seem likely entice only unquenchable ',mixed
'be n\'t particularly good be just fast nutty enough keep entertain ',mixed
'be outmode strangely ',mixed
'be way too much here simple apocalyptic come have be plenty ',mixed
'be pleasant enough cinematic even so be hungry again soon afterward ',mixed
'be talented work talented never reach have ',mixed
'veer wildly sharp political inspirational never find solid ',mixed
'deliver promise more no less fault not be rough tough smart much all seem live be yell not be ',mixed
'sweet sadistic silly probably make strong watch high ',mixed
'have long be criticize serve downright silly straight overtly pretentious basically abandon here loose more playful fresh-faced ',mixed
'be old-fashioned spooky here actual motivated be be delightful ',mixed
'speed next alternate modestly inspire ',mixed
'occasionally win manage impose restless ',mixed
'stylish stray be revive hit short ',mixed
'never make call have surely look walk ',mixed
'middling ',mixed
'straight do n\'t shy entirely ugly include glorify perpetuate advocate revel instead own ',mixed
'be only intermittently engaging amusing succeed be also frustrating be cushion enervate conceptually befuddle sometimes outright indifferent ',mixed
'want live old still stand new be just flimsy hold classic ',mixed
'curious grim gory ninth be striking sorely lack great be capable so much more ',mixed
'tend flaunt fawn usual slow deliver gratefully be n\'t often prove repeatedly be make ',mixed
'imperfectly execute still perfectly enjoyable ',mixed
'Palestinian maybe most apropos ever ',mixed
'first two-and-a-half west be burst second be immobilise ',mixed
'be intriguing ultimately sinister snakelike criminal deliver ',mixed
'duel dirty zing involve naive get break feel less ambitious ',mixed
'be n\'t do different here do Caribbean once again be unrecognizable elaborate speak peculiar thick ',mixed
'have save be remain good be not merely physical be formidable enough have unique make dramatically compelling be good ',mixed
'other recent never overreach instead keep simple focus ',mixed
'walk be rare please practically just look enjoy sound tall up be discreetly poignant ',mixed
'lame make look old not funny old old see fine just old not really up try too hard ',mixed
'substitute here have ironically title generic somehow wind big instead ',mixed
'have prove have get strong be barely aim ',mixed
'valiant never quite scale dizzy emotional require run final visually though be stunning ',mixed
'impose proficient French prop very strong support mostly consist fascinate exasperate just do n\'t carry anywhere interesting ',mixed
'be sour masquerade more cheerful attempted be help hinder indispensable ',mixed
'cruel be often uncommonly suspenseful pit white horde be also uncommonly honest here other be not abstract away ',mixed
'help excel real-life imbue fictional rare otherwise too many wrong ',mixed
'recent sharp-witted be mock freshen have do doom nostalgic only trudge black jagged yellow up down ',mixed
'turn be have see before mix ',mixed
'so wholly engulf second be leave expand feel less lived-in more ambitious ',mixed
'crimson be lock formulaic come as contented go Gothic refresh ',mixed
'be thankless ',mixed
'odd be whip make noble brush get right be busy stress slow have listen say be lie before be tell now do n\'t trust ',mixed
'silly sometimes nonsensical be be surprisingly sweet well-intentioned ',mixed
'go expect divert occasional not divert occasional ',mixed
'never completely go as far have satirically speak ',mixed
'seem be itch attack significant seem doom please no ',mixed
'ultimately be not concern be grimly efficient build help wonderful even never quite reach dizzying ',mixed
'be also more merely interesting be riveting be still quite good impressive do n\'t feel as be quite ',mixed
'have opt play close have be clever want be instead gratuitously violent actually be ',mixed
'burnt less drive fall short generate real surround ',mixed
'be surprising 24th be presumably as plan much be good be often global ',mixed
'convincing escape addicted be save decent dramatic somewhat weigh mildly religious ',mixed
'probably depend heavily let romp coexist approximately be slight sometimes outright offensive be also intermittently amusing not entirely ',mixed
'give try make sit there gape be even quickly become repetitive ',mixed
'weak little prove be be good lose ',mixed
'give be admit achieve be always engaging keep rather superhuman ',mixed
'be get halfway there then lose ',mixed
'more potent thematic be relentlessly insular ',mixed
'be replete bloody sly be awkward uneven be also serious structural be suppose brush ',mixed
'most basic still have creepy tasteful create strong unsettling ',mixed
'much never aim too high so come pleasant make more entertaining ',mixed
'artless unpleasant be give bad ',mixed
'be replace ',mixed
'do n\'t have cast be gory aplenty displace impregnate ',mixed
'be play recent worthwhile be twice as lively human ',mixed
'be enter prime tidal tear only see once again lead astray human ',mixed
'aid lean parched slow-moving respect try avoid usual be not easy do n\'t entirely succeed ',mixed
'grant be be find make look back also advance be fine pay past merely repeat often cross ',mixed
'burnt be n\'t bad be overwrought overdo warm shake stir utterly play ',mixed
'be not happen hear be turn ',mixed
'be nice whole smoothly unhurriedly never deliver ',mixed
'be up hail make foreign lend much-need ',mixed
'slowly build break kick periodically not much resonate here be facile ',mixed
'feel bias sanctimonious ',mixed
'real make entire strange ',mixed
'be only mildly entertaining never funny enough smart enough summarize cultural ',mixed
'only be have go be occasional directorial address painterly be few far be most welcome arise ',mixed
'be undemanding remember be easy say very much ',mixed
'rock be n\'t respectful consistently funny lie ',mixed
'supposedly transformative have very little preach apart purchase ',mixed
'add new be least less ponderous many ludicrous narrow offer respectable ',mixed
'late unpredictable be offbeat appeal be as funny as trenchant have be ',mixed
'be focus so intently parental need remain little need new conform feel smother especially similarly them ',mixed
'be somehow too drawn-out abrupt have get galore ',mixed
'be shockingly humorless glacially slow feature bendy invisible human talk ',mixed
'vaguely base video not be idiotic bafflingly dense endless final lifeless anticlimactic do have visual ',mixed
'set be be n\'t terrible be light give be tired trite greatest early good ',mixed
'occasionally bonkers just do n\'t cut anymore ',mixed
'have major before so be make much here be curious almost certainly owe ',mixed
'burnt be mildly divert ',mixed
'offer virtually only mostly just function move obliquely motivate give much whole be head ',mixed
'lack memorable central pair never spark get vintage third ',mixed
'feel patch together out endless rather cohesive ',mixed
'direct breathlessly be fill jittery hand-held hurtle be especially helpful race paper-thin ',mixed
'be be fast somehow fall short be forgive get suffer middle ',mixed
'be occasionally funny sometimes suspenseful be n\'t particularly imaginative then again be popular ',mixed
'be dirty do n\'t stick sufficiently be as entertaining stinging be ',mixed
'come up strong count frequent ludicrously implausible yet coherently direct ',mixed
'be gleefully offensive unpalatable mainstream be more similar like think accuse lack even have n\'t find perfect ',mixed
'be surprising be squander yellow new-found ',mixed
'be ultimately decent great unfortunately fall short aspire ',mixed
'clear emotional connect ',mixed
'be not so much bad dull ill-conceived do n\'t so much ',mixed
'treat complicated major broadly comic ',mixed
'move temporarily distract haphazard ',mixed
'too much breezy make be strip away replace predictable broad pushy grating ',mixed
'ultimately too busy fracture indulge gimmicky textual really tap magnetic prove be spare much say ',mixed
'n\'t expect walk be rusty comic stale simply be n\'t funny more likely produce even ',mixed
'gifted have make be very bloody bloody stylish be certainly unequaled be also conventionally plot not surprising scary resurrect hoary ago utilize conventional rather fresh subversive ',mixed
'be clearly go blood-soaked dark be grow tiresome get more more ludicrous hard swallow ',mixed
'be worth remember have too be willing do find ',mixed
'do n\'t memorable emerge complex self-contradictory even most supporting ',mixed
'be pedestrian modestly gripping ',mixed
'be n\'t exactly frightening be so well-worn now be hard be particularly startle transpire be able wring sufficient ',mixed
'inhabit be most interesting least be be not so weirdly ',mixed
'walk be compare track similar real-life rich darn easy gravelly be n\'t entice ',mixed
'be create wide enough accommodate hard political never cohere so end rattle disparate ',mixed
'be not as terrible suggest intriguing be absurdly win do n\'t hurt either ',mixed
'remake corner give good be be so sweaty silly not notice ',mixed
'whole be very much mixed cater be n\'t half bad ',mixed
'even be worth see be most successful long-running want keep pump be once again change ',mixed
'be be have end be uneven surprisingly likeable ',mixed
'be too busy too gross sustain effective tumble just be swoon sigh earnest ',mixed
'be make other n\'t always find match ',mixed
'be last end crumble generic murky snatch final be literally frame possible ',mixed
'feel less easy more be come always seem clear pursue be beautiful pal old ',mixed
'lax lame walk be ',mixed
'be well as love here involve have come care about be finally sad though not always dramatically involve ',mixed
'be ultimate be baffle see have be appropriate awfully middling ',mixed
'have less common real-life similarly generic teen dully model superior artistic ',mixed
'be fictionalize true least fuse real composite have result tight ',mixed
'last boast terrific digital Less impressively be clog flat sluggish get lose too much fabricate witchy ',mixed
'well succeed attract literally faithful heavy-handed proselytize prove do n\'t pray daily ',mixed
'do have be abundant relentless be sure accept love little ',mixed
'spectacular well-act suffer much same depict too many too many follow so affect individual get lose ',mixed
'come as unintentionally comic be basically more straight run scream scream run no wonder be tired even gotta sometime ',mixed
'run not only run low internecine n\'t compete early gifted young make big national turn ploddingly sentimental sudden painful ',mixed
'mildly theatrical knowingly hammy be overdo fail rise perfunctory ',mixed
'first be great full dark however final disappoint too many too many conform ',mixed
'short suffer same ',mixed
'be tense utterly predictable Western xenophobic ',mixed
'last feel first would-be similar tell stand-alone ',mixed
'feel tonally consistent first be also overlong thoroughly routine ',mixed
'slight lightly charming comic be most obviously appealing well exotic set be make ',mixed
'bizarre conflict horrify be try be funny oddly appeal turn ',mixed
'have charming lively also many just feel tired listless as be work say do trek ',mixed
'be ultimately see first be channel witty lift then n\'t quite sustain ',mixed
'keep wish just cut loose go deep go fatal anymore serious be tear too grim self-important go truly too silly slipshod work more somber ',mixed
'be chic be swank include be once West be fantastic too bad lead be so lifeless ',mixed
'be go make make second be look tell come maybe do n\'t ',mixed
'be extremely most cover real distracting yet slip be quietly mesmerise ',mixed
'manage promising first ostensibly else shift carry forward be ask later on attend escalate dim be simply leave wonder happen ',mixed
'be decent here somewhere have be right ',mixed
'often play make agree be so funny have be include not suit ',mixed
'be disappointing actually cynical try even vaguely innovative beloved ',mixed
'be overstuff undercooked needlessly complicate ',negative
'be certainly move unfortunately tell most prosaic imaginable miss single one-dimensional noble banal requisite sermonize ',negative
'tardy find sometime cling abject careworn ',negative
'witless serve vulgar ',negative
'give involve feel much discover late fantastic be ',negative
'loud repellent badly write indifferently direct almost completely devoid genuine be essentially 12-year-old still derive basic mere spurt bare good appear same ',negative
'most shocking be fight have list ',negative
'be cacophonous computerized cinematographic deafen hurried extinguish genuine ',negative
'be so name be be large serve ',negative
'not have be wrestle pulverize quiver trust be synthetic not single emotional entire feel organic ',negative
'sixth be not try make legitimate basic narrative add alleged ',negative
'rickety have make unsafe comic ',negative
'risk put typically tired familial such often be only enliven force ',negative
'be follow be enough make ',negative
'much anonymous be pretend be instead real as well be video ',negative
'good be reliable bad certainly veer bad be racially reprehensible exploit most powerless be go change ',negative
'look sound more brutal be least consistently stylish be less assure ',negative
'be grave justify feel fail come absorbing be not real be ',negative
