% Ceci represente la classification de critiques de films en fonction de leur jugement.

@relation critiques
@attribute contenu string
@attribute classe {positive, mixed, negative}

@data
'workmanlike mainly completely perilously ',mixed
'flat predictable tedious idiotic ',mixed
'mildly amusing n\'t else deep conspicuous ',mixed
'exactly dark bad ',mixed
'tasteless gay particularly instantly forgettable ',mixed
'squarely about more visual probably plus scary automatically special now ',mixed
'absolutely not due due utter infantile ',mixed
'good ',mixed
'apocalyptic much high first around ',mixed
'drab anemic ',mixed
'sheer sepulchral most well-nigh ',mixed
'mad next little ',mixed
'pretty inconsequential ',mixed
'few sweet early then unfocused high late slowly away ',mixed
'unexpectedly occasionally delightful sometimes meaningful lucky enough ',mixed
'less strong ',mixed
'broad minimal not much ',mixed
'many more juvenile less polished less previous ',mixed
'n\'t so much certainly also dispiritingly riskless ',mixed
'clear once too too thin as real-life so unruly dangerous ',mixed
'straight bloated melodramatic still worth early just powerful really ',mixed
'relatively well here interesting only captive ',mixed
'good painfully sincere animated less contemporary nostalgic 50th ',mixed
'more just acceptably silly so frustrating entire ',mixed
'short very low good so far most fantastical not ',mixed
'unfortunately frequently brilliant unsure here simply n\'t ',mixed
'few not same creative never confident not bad not quite good enough either ',mixed
'preposterous monotonous primarily notable geopolitical ',mixed
'ferocious steely genuine ',mixed
'high-class down fine noisy converted even ',mixed
'hollow stale occasionally admirable dysfunctional ',mixed
'good there ',mixed
'sinister ambitious good dumb repetitive ',mixed
'so often along ',mixed
'even n\'t often as monotonous still almost capable loyal ',mixed
'many most memorable noisy ',mixed
'deeper existential perhaps n\'t content lightly educational mostly just entertaining more only much less really ',mixed
'even too often flat ',mixed
'toothless cautionary political oddly insignificant ',mixed
'n\'t gallant own fleeting real still hard not so much so wrong ',mixed
'shiny enough not so new nostalgic here there ',mixed
'n\'t together entire ',mixed
'talented animated ',mixed
'sinister short creative probably enough right partial ',mixed
'easy arrant heavy-handed even easy persuasive emotional lead not so much as ',mixed
'overly long yet consistently accurately equal revivalist rather too blatantly final overall narrative spiritual effectively satisfyingly ',mixed
'generally frail indeed barely ',mixed
'no ',mixed
'promising prosaic ',mixed
'good-looking yet narrative overall ',mixed
'mildly pleasant amusing light n\'t exactly yet even modest ',mixed
'not much just rather high ',mixed
'least most popular new rarely old ',mixed
'woefully incomplete middle least never boring ',mixed
'kinda ',mixed
'unclear obligatory ',mixed
'considerable combined smug ',mixed
'perfectly too n\'t nimble spot-on ',mixed
'here retrograde easy fantastical ',mixed
'previous undoubtedly much general soon weary however ',mixed
'blissfully unaware expertly ',mixed
'just underhanded about halfway almost enough ',mixed
'decent aside choral ',mixed
'as bland all-purpose more serious young black gifted fabulously wealthy much far good heavy more ',mixed
'',mixed
'clever several least not skew only halfheartedly content rather true ',mixed
'as paranoid sometimes amusing most ',mixed
'never weak too emphatically unintentionally ',mixed
'often big sleek trendy mildly creative otherwise predictable ',mixed
'grim even grim quiet more complicated subtle ',mixed
'oddball as so long together fully dynamic so desperately ',mixed
'not so confused inert n\'t even not ',mixed
'once solid arty right here waterlogged jaunty ',mixed
'patchy only finally still 3D touching ',mixed
'pretty much all silly goofy little scary little poignant ',mixed
'so many first-rate not quite partly mostly ',mixed
'idiotic unrealistic quite ',mixed
'rarely mainstream much so structurally amateurish secondary more ',mixed
'so much ',mixed
'obvious n\'t noticeable inoffensive just enough ',mixed
'apparently n\'t dumb movingly realistic never instead comic bizarrely short ',mixed
'xenophobic high ',mixed
'more fascinating most drab slow ',mixed
'eclectic here not n\'t more useful more convincing ',mixed
'silly almost orgasmic ',mixed
'competently uncomfortably odd n\'t mental nowhere interesting simple ',mixed
'hardly ',mixed
'as convincingly always even solid ',mixed
'comedic rarely together meaningful ',mixed
'equally muddy ',mixed
'vividly particularly never crucial ',mixed
'beautiful so good ',mixed
'real back up well first ',mixed
'plus high quickly nearly climactic really scary though especially so predictable ',mixed
'incipient gravely depressing tonal simply too vast intermittently amusing dramatically problematic rough rocky ',mixed
'impossible not somewhat oddly horrific underwhelming ',mixed
'skillful overly reliant borrowed especially first-rate secondhand half-baked more costume costume ',mixed
'capable first-rate minor attractive ',mixed
'only ',mixed
'admittedly unbelievable so understandable sadly especially crucial ',mixed
'nice big dumb ',mixed
'few nifty ',mixed
'first shiny then crumpled ',mixed
'crazy undeniably admirably intense ',mixed
'cute often so other snap ',mixed
'hard overall ',mixed
'here n\'t medical too scary too unpleasant ',mixed
'new fascinating charming curious too seemingly hard wonderfully right then easy ',mixed
'thematic wholly reprehensible fraudulent least good good ',mixed
'white such surely not merely fairly slickly ',mixed
'convincing more just pretty flawed fitfully entertaining even all ',mixed
'often skillfully n\'t much ordinary left ',mixed
'not difficult all honestly veteran comic n\'t comfortable ',mixed
'more simply ',mixed
'first okay small merely instead completely dreadful late first general unthinkable ',mixed
'boringly feel-good ',mixed
'sun-drenched timelessly chic architectural safe new ',mixed
'yet screwy ',mixed
'light comic early n\'t final ',mixed
'very ominous inconsistent pretty well still just more less ',mixed
'though much flat taut visceral never ',mixed
'just too ',mixed
'minor sure recent still pleasant ',mixed
'good long ',mixed
'sensuous snappy elegant dapper kinetic so-so even less concerned usual very nearly ',mixed
'',mixed
'lightly amusing ',mixed
'pleasant charming beloved classic genuine adequate n\'t quite enough ',mixed
'crackerjack so-so least intentional deep altogether ',mixed
'right shrewd cuddly enough few infinitely good trancelike sonic ',mixed
'comic just happy error-free mostly ',mixed
'not gleefully teen n\'t ',mixed
'decently personal culinary nice mighty shopworn ',mixed
'not n\'t entertaining inventive either gloriously great gloriously terrible though ',mixed
'fresh relevant maybe ',mixed
'individual temporarily not own not ',mixed
'entire flat ',mixed
'last pulpy never funny detailed even elsewhere ',mixed
'no more ambitious long-haired main sole ',mixed
'competent n\'t basic distinctly chilly European ',mixed
'first big ',mixed
'bitter solid other utterly familiar ',mixed
'core popular pretty much else ',mixed
'perfectly OK even delightful n\'t ',mixed
'large not ',mixed
'selfish young vital basically ',mixed
'little too neat familiar convenient even quite ',mixed
'ghostly right red black receptive wildly overboard English ',mixed
'visually splendid few main distinct ',mixed
'still animated ',mixed
'dull less focused ',mixed
'fine blonde naturalistic ',mixed
'frustrating many n\'t quite many moderately engaging centrally powerful ',mixed
'mediocre much very good liberal quite terrible ',mixed
'n\'t previous maybe few maybe just n\'t true yet maybe loveable just n\'t ',mixed
'golden n\'t less pleasurable fiery fully almost almost ',mixed
'certainly interesting ',mixed
'marketable hit-and-miss n\'t so much more nervous ',mixed
'own unrepentant all Zen-like adolescent ',mixed
'aflame awash undeniably ravishing yet ultimately disappointing own sanguine below ',mixed
'unfortunately n\'t ahead misguided overly dramatic own preposterous climactic ',mixed
'unfortunately unbridled n\'t similar other low worthwhile ',mixed
'serious soapy least opportune ',mixed
'classic classically lamentable good largely sturdy enjoyable domestic ',mixed
'well ',mixed
'likable satisfyingly high ',mixed
'visually pleasing occasionally funny rich good right good ',mixed
'regular watchable capable enough credible ',mixed
'not so many more ',mixed
'down gross-out hilarious else ',mixed
'too often yet graphic most ',mixed
'human real ',mixed
'last not so much ',mixed
'second similar overly familiar dilatory ',mixed
'dastardly rival good never ',mixed
'not even occasional endlessly red red flaming crimson gorgeous red-blooded ',mixed
'full little sassy just too many narratively bizarre ',mixed
'horrific breathless brutal ',mixed
'blood-soaked practically promotional ',mixed
'incapable false n\'t incapable false ',mixed
'even simple many same ',mixed
'distant storytelling narrative ',mixed
'almost actually requisite hip just n\'t ',mixed
'ultimately superficial yet watchable very classy ',mixed
'no ambitious wholly original far new never necessary ',mixed
'silly as far not much ',mixed
'n\'t last less ',mixed
'sprawling great instead up just pretty good ',mixed
'dodgy tentative uncertain as own complicated journalistic ',mixed
'more less main sketchy new efficient ',mixed
'late understandable back low more manageable yet again not ',mixed
'crimson visionary busy truly ',mixed
'n\'t good first pretty good second pretty bad truly awful quite never international contemporary political ',mixed
'visual here absurd ',mixed
'second popular exact sprawling not liberally more illustrious plentiful dull ',mixed
'much less so good n\'t ',mixed
'creepily effective more unnecessary organic original ',mixed
'strong independent own old male triumphant female distinctly conservative paternalistic ',mixed
'all mischievous not utterly harmless far despicable welcome too soon ',mixed
'all so ',mixed
'heavily Christian almost closely inspirational ',mixed
'alternately up-to-the-minute relevant as well self-indulgent much heroic more ',mixed
'episodic piquant mostly visual preschool ',mixed
'stupid stupid stupid certainly even contentedly here also deadpan somehow previous ',mixed
'social emotional melodramatic ',mixed
'largely minimal together ',mixed
'very young well enough awful lazy off easy ',mixed
'once thinly maddeningly irreverent over-serious chock-full strained other creepy elaborate strangely compelling ',mixed
'most difficult intricate not real ',mixed
'n\'t ',mixed
'heavily good equally constantly just incredibly important disappointingly difficult truly about ',mixed
'emotional all due sympathetic ',mixed
'illegible awkward slow-motion political intermittently interesting off-beat ',mixed
'not n\'t exactly moral tantamount commercially right other wrong ',mixed
'hard not only halcyon also relevant new ',mixed
'great great else ',mixed
'wide-eyed human enough black even partway ',mixed
'ambitiously mixed gripping so-so ',mixed
'testimonial together only ',mixed
'understandably ever real never too scary disposable likely no ',mixed
'serviceable capable elaborate martial generally cold detached deep down ',mixed
'idiosyncratic finally even own mechanically young ',mixed
'always narrative secondary fortunate home mostly ',mixed
'n\'t unbreakable lively even good good-natured own ',mixed
'smart new engaging charismatic ',mixed
'Christian dramatic forward well-appointed n\'t as ',mixed
'finally really here not not ',mixed
'more often not toy more muggy ',mixed
'disappointingly modest visual ',mixed
'nice nice good nice other very nice not particularly potent rousing ',mixed
'first likeable second tiresome loud ',mixed
'unfortunately edgy broad most ',mixed
'last big overblown frequently incomprehensible ',mixed
'occasionally little too own still grown-up muscular same ',mixed
'pure simple little ',mixed
'here loud though so ',mixed
'first moderately entertaining reliably ludicrous predictable new n\'t effortless stoic original ',mixed
'haphazard more frustrating somewhere much more resonant ',mixed
'thin rather famous ',mixed
'about admittedly first-rate political ',mixed
'comic key emotional late first two-hour ',mixed
'unbalanced never less entertaining roughly equal true ',mixed
'romantic ',mixed
'mouth-watering unsurprisingly fierce fine less motley ',mixed
'fleeting here ',mixed
'promising effective low-budget still own bad ',mixed
'aside few outré symbolically little overlong ',mixed
'sorry 66-year-old rational frightening temporary bad ',mixed
'blasted impressive hardly underdeveloped inordinate ',mixed
'mere clever n\'t enough here stale stale n\'t before fresh new lazy even then deep ',mixed
'occasionally euphoric even empathetic impressive nuanced n\'t ',mixed
'only partly mostly few uncontrollable confident not elaborate almost totally ',mixed
'visually inventive enough good smart never entirely dismissible not strong enough essential ',mixed
'big n\'t quite hard still n\'t ',mixed
'there just perfect there again evilly decent now ',mixed
'almost monotonously downbeat conspicuous infectious ',mixed
'appealing likely only unquenchable ',mixed
'n\'t particularly good just fast nutty enough ',mixed
'strangely ',mixed
'way too much here simple apocalyptic plenty ',mixed
'pleasant enough cinematic even so hungry again soon afterward ',mixed
'talented talented never ',mixed
'wildly sharp political inspirational never solid ',mixed
'more no less not rough tough smart much all not ',mixed
'sweet sadistic silly probably strong high ',mixed
'long downright silly straight overtly pretentious basically here loose more playful fresh-faced ',mixed
'old-fashioned spooky here actual motivated delightful ',mixed
'next modestly ',mixed
'occasionally restless ',mixed
'stylish short ',mixed
'never surely ',mixed
'middling ',mixed
'straight n\'t entirely ugly instead ',mixed
'only intermittently engaging amusing also frustrating conceptually sometimes outright indifferent ',mixed
'old still new just flimsy classic ',mixed
'curious grim gory ninth striking sorely great capable so much more ',mixed
'usual gratefully n\'t often repeatedly ',mixed
'imperfectly still perfectly enjoyable ',mixed
'Palestinian maybe most apropos ever ',mixed
'first two-and-a-half west second ',mixed
'intriguing ultimately sinister snakelike criminal ',mixed
'dirty naive less ambitious ',mixed
'n\'t different here Caribbean once again unrecognizable elaborate peculiar thick ',mixed
'good not merely physical formidable enough unique dramatically compelling good ',mixed
'other recent never instead simple ',mixed
'rare practically just tall up discreetly poignant ',mixed
'lame old not funny old old fine just old not really up too hard ',mixed
'here ironically generic somehow big instead ',mixed
'strong barely ',mixed
'valiant never quite dizzy emotional final visually though stunning ',mixed
'proficient French very strong mostly just n\'t anywhere interesting ',mixed
'sour more cheerful attempted indispensable ',mixed
'cruel often uncommonly suspenseful white also uncommonly honest here other not away ',mixed
'real-life fictional rare otherwise too many wrong ',mixed
'recent sharp-witted nostalgic only black jagged yellow up down ',mixed
'before ',mixed
'so wholly second less lived-in more ambitious ',mixed
'crimson formulaic as contented Gothic ',mixed
'thankless ',mixed
'odd noble right busy before now n\'t ',mixed
'silly sometimes nonsensical surprisingly sweet well-intentioned ',mixed
'occasional not occasional ',mixed
'never completely as far satirically ',mixed
'significant no ',mixed
'ultimately not grimly efficient wonderful even never quite dizzying ',mixed
'also more merely interesting riveting still quite good impressive n\'t as quite ',mixed
'close clever instead gratuitously violent actually ',mixed
'burnt less short real ',mixed
'surprising 24th presumably as much good often global ',mixed
'convincing addicted decent dramatic somewhat mildly religious ',mixed
'probably heavily approximately slight sometimes outright offensive also intermittently amusing not entirely ',mixed
'there even quickly repetitive ',mixed
'weak little good ',mixed
'always engaging rather superhuman ',mixed
'halfway there then ',mixed
'more potent thematic relentlessly insular ',mixed
'replete bloody sly awkward uneven also serious structural ',mixed
'most basic still creepy tasteful strong unsettling ',mixed
'much never too high so pleasant more entertaining ',mixed
'artless unpleasant bad ',mixed
'',mixed
'n\'t gory aplenty ',mixed
'recent worthwhile twice as lively human ',mixed
'tidal only once again astray human ',mixed
'lean parched slow-moving usual not easy n\'t entirely ',mixed
'back also fine past merely often ',mixed
'burnt n\'t bad overwrought utterly ',mixed
'not ',mixed
'nice whole smoothly unhurriedly never ',mixed
'up foreign ',mixed
'slowly periodically not much here facile ',mixed
'sanctimonious ',mixed
'real entire strange ',mixed
'only mildly entertaining never funny enough smart enough cultural ',mixed
'only occasional directorial painterly few far most welcome ',mixed
'undemanding easy very much ',mixed
'n\'t respectful consistently funny ',mixed
'supposedly transformative very little apart ',mixed
'new least less ponderous many ludicrous narrow respectable ',mixed
'late unpredictable offbeat as funny as trenchant ',mixed
'so intently parental little new especially similarly ',mixed
'somehow too drawn-out abrupt galore ',mixed
'shockingly humorless glacially slow bendy invisible human ',mixed
'vaguely video not idiotic bafflingly dense endless final lifeless anticlimactic visual ',mixed
'n\'t terrible light tired trite greatest early good ',mixed
'occasionally bonkers just n\'t anymore ',mixed
'major before so much here curious almost certainly ',mixed
'burnt mildly ',mixed
'virtually only mostly just obliquely much whole ',mixed
'memorable central never vintage third ',mixed
'together out endless rather cohesive ',mixed
'breathlessly jittery hand-held especially helpful paper-thin ',mixed
'fast somehow short middle ',mixed
'occasionally funny sometimes suspenseful n\'t particularly imaginative then again popular ',mixed
'dirty n\'t sufficiently as entertaining stinging ',mixed
'up strong frequent ludicrously implausible yet coherently ',mixed
'gleefully offensive unpalatable mainstream more similar even n\'t perfect ',mixed
'surprising yellow new-found ',mixed
'ultimately decent great unfortunately short ',mixed
'clear emotional ',mixed
'not so much bad dull ill-conceived n\'t so much ',mixed
'complicated major broadly comic ',mixed
'temporarily haphazard ',mixed
'too much breezy away predictable broad pushy grating ',mixed
'ultimately too busy gimmicky textual really magnetic much ',mixed
'n\'t rusty comic stale simply n\'t funny more likely even ',mixed
'gifted very bloody bloody stylish certainly unequaled also conventionally not surprising scary hoary ago conventional rather fresh subversive ',mixed
'clearly blood-soaked dark tiresome more more ludicrous hard ',mixed
'worth too willing ',mixed
'n\'t memorable complex self-contradictory even most supporting ',mixed
'pedestrian modestly gripping ',mixed
'n\'t exactly frightening so well-worn now hard particularly able sufficient ',mixed
'most interesting least not so weirdly ',mixed
'similar real-life rich easy gravelly n\'t ',mixed
'wide enough hard political never so disparate ',mixed
'not as terrible intriguing absurdly n\'t either ',mixed
'good so sweaty silly not ',mixed
'whole very much mixed n\'t half bad ',mixed
'even worth most successful long-running once again ',mixed
'uneven surprisingly likeable ',mixed
'too busy too gross effective just earnest ',mixed
'other n\'t always ',mixed
'last generic murky final literally possible ',mixed
'less easy more always beautiful old ',mixed
'lax lame ',mixed
'well as here about finally sad though not always dramatically ',mixed
'ultimate awfully middling ',mixed
'less common real-life similarly generic teen dully superior artistic ',mixed
'true least real composite tight ',mixed
'last terrific digital Less impressively flat sluggish too much witchy ',mixed
'well literally faithful heavy-handed n\'t daily ',mixed
'abundant relentless sure little ',mixed
'spectacular much same too many too many so individual ',mixed
'as unintentionally comic basically more straight no tired even sometime ',mixed
'not only low internecine n\'t early gifted young big national ploddingly sentimental sudden painful ',mixed
'mildly theatrical knowingly hammy perfunctory ',mixed
'first great full dark however final too many too many ',mixed
'short same ',mixed
'tense utterly predictable Western xenophobic ',mixed
'last first would-be similar stand-alone ',mixed
'tonally consistent first also overlong thoroughly routine ',mixed
'slight lightly charming comic most obviously appealing well exotic ',mixed
'bizarre funny oddly ',mixed
'charming lively also many just tired listless as ',mixed
'ultimately first witty then n\'t quite ',mixed
'just loose deep fatal anymore serious too grim self-important truly too silly slipshod more somber ',mixed
'chic swank once West fantastic too bad lead so lifeless ',mixed
'second maybe n\'t ',mixed
'extremely most real distracting yet quietly ',mixed
'promising first ostensibly else forward later on simply ',mixed
'decent here somewhere right ',mixed
'often so funny not ',mixed
'disappointing actually cynical even vaguely innovative beloved ',mixed
'undercooked needlessly ',negative
'certainly unfortunately most prosaic imaginable single one-dimensional noble banal requisite ',negative
'tardy sometime abject careworn ',negative
'witless vulgar ',negative
'much late fantastic ',negative
'loud repellent badly indifferently almost completely devoid genuine essentially 12-year-old still basic mere bare good same ',negative
'most shocking ',negative
'cacophonous computerized cinematographic hurried genuine ',negative
'so large ',negative
'not synthetic not single emotional entire organic ',negative
'sixth not legitimate basic narrative alleged ',negative
'rickety unsafe comic ',negative
'typically tired familial such often only ',negative
'enough ',negative
'much anonymous instead real as well video ',negative
'good reliable bad certainly bad racially reprehensible most powerless ',negative
'more brutal least consistently stylish less ',negative
'grave absorbing not real ',negative
'preachy n\'t mighty long-winded wincingly overwrought domestic ',negative
'clear ',negative
'well-meaning spiritual sluggish clinical largely dreary ',negative
'bad special yet effectively ',negative
'late fantastic cinematic bad worthless ',negative
'most tedious recent lame lazy only ',negative
'cheap more loud ',negative
'titular now blank ',negative
'insofar about really about gratuitous staggering ',negative
'',negative
'special bad talented ',negative
'largely inert left tedious horrible ',negative
'pop deliriously ',negative
'n\'t all just anyway ',negative
'empty last hungry not more ',negative
'profitable ',negative
'frivolously scary scary scary ',negative
'n\'t even own most deeply cynical ',negative
'seriously so almost actively impossible ',negative
'empty n\'t well-reasoned up more clueless so-called social ',negative
'effectively yet just so repugnant ',negative
'more n\'t big red other ',negative
'deadpan amiable laid-back more tangible all ',negative
'ultimately so worthy ',negative
'sweet slack slick probably ',negative
'joyless just imaginable as well n\'t possibly ',negative
'messy also new ',negative
'dumb just as generic ',negative
'condescending self-righteous sloppy simply bad ',negative
'last else ',negative
'purely good present here more more lazy familiar ',negative
'even dramatically not ',negative
'very n\'t n\'t really especially heavily ',negative
'just high-tech last ',negative
'just plain offensive not well either casual altogether more noxious then back n\'t n\'t n\'t great ',negative
'even well political hard bizarrely eccentric currently n\'t even ',negative
'lousy unfocused incoherent shockingly terrible special probably talented dull ',negative
'often more lost long exotic ',negative
'austere European guilty ',negative
'helplessly garish generic ',negative
'odd sure full-tilt widowed stone-cold cornered spiritual very slightly other more ',negative
'first mushy third ',negative
'supremely silly overall much lesser ',negative
'large last unfortunately more also more convoluted ',negative
'memorably bad surely as low ',negative
'though original as easily ',negative
'especially good acceptable alternate bad high ',negative
'late well strong dull n\'t effective aural ungainly nearly ',negative
'creative ',negative
'terrific perhaps together again good ',negative
'still not ',negative
'always next little good ',negative
'mostly dreadful English well-dressed ',negative
'dopey only mildly chilling uneasy dark few ',negative
'lazy ',negative
'thoroughly unpleasant ',negative
'teen ',negative
'so low ',negative
'sleek curvy luscious ready ',negative
'compelling hoary ',negative
'not too umpteenth female even sweet ',negative
'most joyless ',negative
'few feel-good limply most elaborate especially endless tribal embarrassingly flat ',negative
'artless puerile ',negative
'least interesting ',negative
'fantastic ',negative
'much turgid ridiculous ',negative
'first briefly never more impressive ',negative
'mostly puerile uninspired tired little ',negative
'dominant frantically young n\'t ',negative
'climactic overwhelming final overall last played-out ',negative
'Asian either ruthless anonymous white ',negative
'stylish marvelous narrative ',negative
'lightweight basically unnecessary once again cinematic lesser ',negative
'appropriate else dubious downright awful ',negative
'also not new 24th well not as much bloated ',negative
'such brainless shameless hard ',negative
'not convincing frightening ',negative
'sure nice unmemorable vapid fantastic utterly flat ',negative
'undeniably powerful craftily special not ',negative
'certainly big really ',negative
'riveting even not fairly contrived domestic ',negative
'so wildly inconsistent genuinely gorgeous cruddy ',negative
'far first ever otherwise out ',negative
'less very long ',negative
'literally figuratively dark ',negative
'insulting tough single abysmal ',negative
'however slapdash ultimately less progressive superficially such feel-good unimaginative hyperactive adolescent ',negative
'perhaps intentional n\'t always full oppressively bad ',negative
'well just few ago French ideal never even ',negative
'far only fairly handily even major ',negative
'just clumsily written same rich ',negative
'ridiculous ',negative
'first ',negative
'only fitfully mistakenly ',negative
'clumsy crass sudden ',negative
'fantastic maybe someday ',negative
'excellent back lunatic ghastly previous so easily ',negative
'borrowed young just n\'t ',negative
'quickly depressingly ',negative
'last artlessly restless untamed never back forth remotely entertaining ',negative
'well new novel inexplicably clearly neither anymore ',negative
'nonexistent unsuccessfully so much inner n\'t funny ',negative
'joyless ',negative
'cheerless least back ',negative
'emotional particularly ',negative
'nothing special ',negative
'relentlessly derivative flat fussy unconvincing ',negative
'sinister so little first enough ',negative
'dead ',negative
'less ambitious creatively ',negative
'inexpressive obviously tired perhaps never just ',negative
'so moral ridiculous ready cold bland ',negative
'ill-conceived beloved ',negative
'sexist racist overlong dull visually ugly bad unfunny ',negative
'thin utterly see-through ',negative
'familiar blockbuster comic n\'t clear new rich basic wholly traditional ',negative
'only current ',negative
'unholy tone-deaf seemingly vital then inexplicably never superb old much good much good political as ham-handed ',negative
'spongy serious also ever too much too much n\'t so much ',negative
'old amiably enough few here n\'t enough together satisfying ',negative
'good progressively more tedious ',negative
'poorly fair Afghan popular only countless other bad ',negative
'good literary terrifying toothless here ',negative
'perfect lame lazy good great less so ',negative
'',negative
'reasonable all likely curious unreasonable ever after ',negative
'',negative
'schlock own dusty dead too just n\'t yet ',negative
'n\'t much dreggy dreadful creepily exploitative would-be too silly stupid as offensive frequently ',negative
'aggressively awful lackadaisical dull almost back ',negative
'here shocked contrary not ',negative
'bizarrely retrograde only cuddly soft soft ',negative
'bottom here interpersonal ',negative
'only late marital somewhat more authentic well ',negative
'special instead exasperatingly bland almost generic ',negative
'n\'t deep least seductive aside stunning dutiful ',negative
'exactly n\'t hard ',negative
'tedious soulless relatively trim seemingly ',negative
'still even ',negative
'good fatal dangerous too safe ',negative
'clear real actual never ',negative
'seemingly last other unfortunately heavy-handed humorless little goofy ',negative
'fantastic so mediocre ',negative
'goofy n\'t same more graphic ',negative
'gifted n\'t industrial wrong elaborate usually ',negative
'main last immortal also underwhelming ',negative
'really n\'t rancid ',negative
'special cheap wooden largely throwaway off ',negative
'only more ',negative
'less about dubious ',negative
'few not enough third ',negative
'superior enormous here unfortunately all reprehensible ',negative
'genuine completely southeast Asian exactly Asian else nameless equally nameless ',negative
'even pretty much impossible artless ',negative
'predominantly empty anonymous scarcely ',negative
'rich unremarkable otherwise ',negative
'rancid red not just also sloppy ',negative
'early ',negative
'ultimately previously new ingenious familiar suddenly loud sound real ',negative
'n\'t melancholy thin good pretty close bad unscathed ',negative
'high-speed extravagant as punctilious little uptight ',negative
'complete second mundane dramatic sensory whatsoever ',negative
'clumsy implausible intriguing generational dimly old young alike ',negative
'remarkably little ',negative
'early ',negative
'perhaps good n\'t own few ',negative
'as pointless advanced ',negative
'n\'t ',negative
'actually last n\'t ',negative
'slow lethargic utterly undeserving good ',negative
'wooden ',negative
'even late logical less acceptable however unaccountably weak demonic ',negative
'merely cheap simply accordingly ',negative
'inner continued universal ',negative
'fine vague ',negative
'unfortunate embarrassing decades-old frightful ',negative
'certainly enough dopey here last considerably more even most extravagant desultory oppressively synthetic ',negative
'real religious emotional captive up big ',negative
'stunningly deadpan singularly unfunny often ',negative
'just deadly dreadful loud obnoxious convoluted horrible dumb ',negative
'first unexpected magnetic reliably kinetic inferior ',negative
'abusive loving fully functional ',negative
'ultimately rather well ',negative
'grand old fresh unusual good simply two-dimensional rather one-dimensional ',negative
'trapped as believably scary ',negative
'cheap just ',negative
'complete joyless pointless fundamentally idiotic ',negative
'clear brave new social social public just n\'t truly scary suspenseful real though ',negative
'n\'t own n\'t so much little back ',negative
'fantastic so bereft drawn-out upcoming ever again ',negative
'miraculous dull relatively uninterested more ',negative
'blissfully perfect aggressively repulsive queasy bad ',negative
'not as brazenly offensive not as spectacularly inept still awful superficial half-baked ',negative
'unquestionably female too ',negative
'utterly completely so even n\'t ',negative
'grittily propulsive solid aside no ',negative
'honest not noticeably stupid other ',negative
'sloppy disconnected lazily happily ',negative
'extreme unlikable seriously poorly ',negative
'weak high even anymore barely anyway ',negative
'never own ',negative
'good likely essentially dreary familiar painfully good ',negative
'all rather dull ',negative
'unconvincing Western abroad ',negative
'deeper more dramatic ',negative
'even n\'t contemptuous rapidly tiresome ',negative
