% Ceci represente la classification de critiques de films en fonction de leur jugement.

@relation critiques
@attribute contenu string
@attribute classe {positive, mixed, negative}

@data
'What Zemeckis deliver here be an entirely different brand of spectacle from that which audience have come to expect from recent studio <unknown> , share a true story so incredible it literally must be see to be believe , as oppose to imaginary feat full of impossible <unknown> creature . ',positive
'if <unknown> tide run against the Globe , at least those who work there have the satisfaction of expose a global wrong , and help to end it . and they have <unknown> film , one of the good picture of @card@ , as a permanent record , a tribute in cinematic form , to their art and craft in its fine hour . ',positive
'horror be an impatient person \'s game these day , and <unknown> Peak be n\'t hurry at all . it seduce with creepily erotic atmosphere , and performance in perfect tune with the script \'s melodrama . ',positive
'when you be watch something Zemeckis make , anything can happen , and reality be up for grab . in this case , he have use his power for good , and the end result be stirring and spectacular at time , with a devastating , if subtle , final line of dialogue . ',positive
'occasionally thing get a little overcrowd , particularly during a sticky final act , but Pan have a certain timeless buoyancy that keep it bounce back . ',positive
'so James <unknown> title character be an entitle , self-centered <unknown> . but the movie about him be still a marvel : an honest , move , and occasionally even funny portrait of what happen when a cripplingly immature young man get hit with one reality check after another . ',positive
'a great newspaper movie of the old-school model , call up not only obvious comparison with All the President \'s Men and <unknown> , two movie with similar devotion to the sometimes crushingly boring gumshoe part of reportage , but also Cary Grant and Rosalind Russell shout into adjacent phone in his <unknown> Friday . ',positive
'a <unknown> romp that be a shear delight , shear perfection , if not quite a <unknown> . ',positive
'Zemeckis turn the event into a kind of blockbuster <unknown> <unknown> <unknown> an almost avant-garde game of composition , movement and perspective , exhilaratingly attune to form and space . ( Mad Max : Fury Road do the same . ) the <unknown> be subtle and meticulous , the 3D <unknown> <unknown> . ',positive
'impressively design throughout , the <unknown> also keep the laugh kick . ',positive
'you can argue that the plot of the Martian <unknown> offer many surprise , but this be a movie of innumerable delightful moment and small discovery , and even more of infectious enthusiasm . ',positive
'at once ardent and analytical , cerebral and swoon , Carol be a study in human magnetism , in the physic and optic of eros . with sparse dialogue and restrained drama , the film be a symphony of angle and glance , of color and shadow . ',positive
'like a great silent movie , it create its pathos and comedy out of the concrete object be animate , build elaborate gag involve everyday item transform into Rube Goldberg device that sometimes entrap the character , or , when properly manipulate by them , provide a means of achieve their goal . ',positive
'this dramatic thriller find a spot somewhere between your brain and your stomach , and drill in . ',positive
'Credit go to smart casting of unknown in the lead , who click uniformly ; a packed script that manage not to feel overly long and social commentary that be timeless . ',positive
'a sprawling , overstuff , formulaic but highly entertaining story of pop stardom . ',positive
'Depp \'s performance as Bulger be as strong , and as energize , as anything he be do on screen for year . ',positive
'this be what film spectacle use to look like <unknown> a trip to a place or time most of us could never see . ',positive
'Brooklyn grab us , hold us and move us on its own . emotionally <unknown> a killer . ',positive
'make a film with fine performance , adept direction , first-rate photography and a doltish screenplay be like start a rock band with no drummer . the result may yield satisfy , even memorable moment . but every time you try to build momentum , the project fall apart . ',positive
'like All the <unknown> Men , <unknown> a muckraker movie that celebrate the power of the press by actually show journalist do their job , pen and notebook in hand . ',positive
'despite its terrific performance and its great use of location , Shelter do n\'t have enough substance to hold your attention or linger in the mind for long . ',positive
'there be no solace to be have in this raw , intimate drama , a feature-film debut for writer-director Josh <unknown> . no triumph of the human spirit . there be instead something rare and more valuable : urgently personal filmmak , and <unknown> stunning performance . ',positive
'pull from the news but punch up to fever pitch , <unknown> represent the perfect mix of cerebral and visceral thrill . Star , director and screenwriter all bring their <unknown> . ',positive
'<unknown> something refresh about the old-fashioned way in which it entertain , a mix of silly slapstick and sight gag combine with a gentle heart . ',positive
'<unknown> so fascinating about the film be that it truly turn on the solve of problem , and its chief solver , stick on Mars , manage to be so funny , interesting and infallibly likable that <unknown> invest in his predicament at every moment . ',positive
'if the final result do n\'t transcend emotionally in the manner of the gold standard of Boston noir , Clint Eastwood \'s <unknown> River , the fault be not in the execution but the unyieldingly oppressive nature of the underlie material . ',positive
'Anyone who <unknown> have a grand time watch Shaun the Sheep Movie be suffer from a fractured funny bone that need to be reset . ',positive
'Mara and Blanchett make for an unforgettable couple in a beautiful film about longing , loss and the confusion and wonder of love . ',positive
'while <unknown> more technically elaborate treatment than the character have ever receive , <unknown> also gentle and more <unknown> than any of Blue <unknown> other feature . <unknown> also a neat extension of <unknown> <unknown> , grant , no one need to see <unknown> permanent cloud of filth render more vividly . ',positive
'this be a period drama , all the expect visual grandeur be present and account for , from Yves Belanger \'s vibrant cinematography to Odile <unknown> \'s <unknown> costume to Francois Seguin \'s production design . ',positive
'this be ultimately a frustrating work . the Walk have everything it need to be a modern classic , except for an understanding that when you have everything you need to make such a film , it do n\'t need to hype itself and explain itself . it can just be . ',positive
'Shaun the Sheep Movie manage to be smart , moving and hilarious without the inclusion of a single word of dialogue . ',positive
'Everest get several thing right , but it fail to find a way to make the average viewer relate to the people on the mountain . ',positive
'for all of its flaw , it be the first film since Eastern <unknown> that have add anything truly fresh to the old school street-level gangster story . ',positive
'buoy by a soundtrack <unknown> have <unknown> crack open <unknown> and recall a marginally simple , if still chaotic , time in their life , Straight <unknown> <unknown> bark be just as <unknown> as its bite . take that , <unknown> Gore . ',positive
'Blanchett make us feel the creep horror of professional disgrace , the fear and stigma , however unfair Mapes argue her treatment may have be . we watch a polished professional come apart at the seam , catch up in self-incrimination and spiral neurosis . ',positive
'if anything , director Cooper be so intent on portray Bulger as a man , not a monster , the man come off a little soft than he be , probably . ',positive
'in this case , character development be neglect in favor of awe-inspiring view . there be time when we feel like we be on the mountain . unfortunately , our companion - the man and woman populate the screen - be never more than <unknown> . ',positive
'despite <unknown> seemingly flawless effort , less may have be more in convey just how bloodthirsty Bulger be . where <unknown> excel be with a stellar cast whose spot on performance keep your interest as the film move along . ',positive
'set in postwar Berlin , the story involve prostitution , black marketeering , and the death camp , and the tension between the visual style and the adult story make the movie pretty engross -- it be an R-rated Casablanca . ',positive
'Mr. <unknown> Everyman quality ( <unknown> our Jimmy Stewart ) help scale the story down , but what make this epic personal be Mr. <unknown> filmmak , in which every soar aerial shot of the red planet be answer by the intimate landscape of a face . ',positive
'the Peanuts Movie deliver genuine happiness with the door leave open for woe . ',positive
'unashamedly romantic and achieve with a beautifully subtle , old-fashioned elegance , <unknown> a graceful coming-of-age tale ripe for award . ',positive
'the result be as grim and unyielding a depiction of the <unknown> as have yet be make on that cinematically overwork subject <unknown> a masterful exercise in narrative deprivation and sensory overload that recast familiar horror in daringly existential term . ',positive
'a snapshot of what happen at a particular time and place and do n\'t try to glamorize its subject or make any large point about what it all mean . by refuse to do so , by celebrate the process over the outcome and the work over the reward , it become a special experience , a movie that matter . ',positive
'ultimately , though , it be Abbott \'s show to steal <unknown> and steal it he do <unknown> as he <unknown> conjure a character who be chaotically charismatic , hugely affect and for well or worse thoroughly real . ',positive
'To say Blanchett be good here be a grave understatement . ',positive
'while there be a few loose end in Drew <unknown> screenplay , which be faithful to but necessarily less detailed than its source , the film be a triumph of storytelling , a tribute to the power of the crowd-pleaser . ',positive
'each set piece be orchestrate with aplomb - a raid on a tunnel under the border be a particular stand out - but <unknown> be keep ground in reality . Villeneuve keep his focus tight on his small group of character and though the plot be complex , it fit the Byzantine intricacy of the problem and the obscure motivation of the operator . ',positive
'when James White really dig in , it be an affect portrait of grief and of feeling lose in life . ',positive
'in <unknown> Movie , the hormone , anxiety , and princess jealousy that fuel the majority of Hollywood love storey be make so excessive that the romance itself be reveal to be ... every bit as big a crock as it usually be . ',positive
'work from a screenplay by Jason Fuchs , director Joe Wright seem overwhelm by the material , and he fail to make us care about any of the character . ',positive
'from the company that give us <unknown> <unknown> and <unknown> and <unknown> this adorable tale about a sheep who lead his comrade on a big-city adventure be some of the most pure visual storytelling <unknown> go to see this year . ',positive
'this be a film of tactile decadence , such a rich sensory experience that it be almost suffocate . ',positive
'within the vigorous entertainment of Straight <unknown> Compton be a <unknown> realism about the machine within the machine , the amplifier of money and medium that , behind the scene and <unknown> , play crucial role in the flow of power . ',positive
'in the good scene , which come late in the film , James hold his die mother and share a vision of their future that they both know <unknown> never get to see . ',positive
'with its perilous central premise and gallery of individual some of whom be destine not to make it , you could say Everest be a disaster movie in the old Hollywood sense of the term , but it do n\'t feel like one . and that be a good thing . ',positive
'inspiring stuff , the stuff of Hollywood all the way back to Frank Capra and before : a story of scrappy underdog , determine to get to the truth , and topple the mighty in the process . ',positive
'<unknown> both soaringly romantic and truly sad . ',positive
'spotlight do n\'t call attention to itself . its screenplay be self-effacing , its accomplished direction be intentionally low key , and it encourage its fistful of top actor to blend into an eloquent ensemble . ',positive
'in the end , the Walk find a graceful way to pay tribute not only to <unknown> bravery and determination <unknown> but to the thousand lose on @card@ in the building this daredevil love so much . ',positive
'<unknown> create such a convincing world <unknown> the craft of this film be astonishing <unknown> that <unknown> willing to forgive its less delicate touch in favour of its totally compelling depiction of what it must be like to ascend into a place <unknown> heaven one moment and hell the very next . ',positive
'full of non-stop action , an intriguing new take on J.M. <unknown> classic <unknown> <unknown> tale and some old-fashioned , swashbuckling mischief lead by Hugh Jackman , director Joe <unknown> Pan be one heck of a charming romp . ',positive
'Pixar might have uncover the mystery of our brain with <unknown> <unknown> but <unknown> know its way around our funny bone . ',positive
'harness the wizardry of <unknown> Imax to magnify the sheer transporting wonder , the <unknown> thrill of the experience , the film \'s payoff more than compensate for a lumbering setup , lade with cloy voiceover narration and strained whimsy . ',positive
'the movie be a world-class winner . ',positive
'maybe an hour would have be enough , but even the slow patch have charm to burn . ',positive
'passable adventure that offer the occasional flash of real cleverness . ',positive
'if <unknown> yearning to take a sentimental journey , Brooklyn be the perfect destination . ',positive
'straight <unknown> Compton , while often entertaining and dynamic , ultimately feel as if its mean to act as a kind of cinematic trophy to rest on a pedestal that celebrate not only <unknown> , but the successful and trailblazing member who help define hip hop outside of the group . ',positive
'this Pan be loud , colourful , busy and full of idea . not all those idea work in sync <unknown> but most be bold and some be winningly eccentric . ',positive
'Cynthia Nixon commit wholly to her <unknown> maternal patience and scattered mental decay , but <unknown> Abbott who really dominate James White . ',positive
'the Green <unknown> be not exactly a feel-good film , but it get a very particular job do . ',positive
'if the film be ultimately an exercise in atmosphere , it be without question a triumph on that front . the rich texture and almost tactile visual be astonishing . ',positive
'<unknown> start and end with <unknown> impassioned performance ( and she be spectacular in her final scene ) , but <unknown> Del Toro who be the real standout . ',positive
'the wonder of stop-motion be the mountain of effort require to achieve even the small movement . the charm of Shaun the Sheep be that you <unknown> notice it for a moment . ',positive
'in a bold move that pay off , the movie jettison dialogue altogether and tell its whole story through <unknown> noise , goofy sound effect , and sight gag so silly <unknown> make Benny Hill spin in <unknown> ecstasy . the effect be contagiously cute . ',positive
'while <unknown> Weekend may not quite live up to its title and be certainly his least tart effort to date , the film \'s mild flavor and less acidic aftertaste be mostly a pleasurable <unknown> . ',positive
'an entertaining combination of humor and tenderness , the Peanuts Movie <unknown> just an <unknown> crowd-pleaser . <unknown> the perfect first feature film for a preschooler . ',positive
'as commercial entertainment , the Martian deliver on expectation of a smart blockbuster even as it adhere to the formula of a relatively simple feel-good drama . though <unknown> aim for more ambition , the Martian play it safe : it be a brainy studio effort that stick to familiar ground in more way than one . ',positive
'with just a little bit more prodding and elaboration , the movie could have be rich and evocative . even if you do n\'t believe what he preach , the movie ( at least ) could have border on a transcendent experience . as it stand , it be pretty good , but not exactly heavenly . ',positive
'<unknown> the thing about <unknown> Peak , which be lurid and ghastly and immensely enjoyable and frequently spectacular and also thin and less substantial than it want to be , like a meal eat in a dream . ',positive
'now in middle age , member of <unknown> no longer believe all of the hype . <unknown> in an introspective space , to the great benefit of this film . ',positive
'by any standard , this would be an outstanding film , but for a debut it be remarkable . ',positive
'despite Straight <unknown> <unknown> energetic acting and <unknown> capture of <unknown> Eureka ! moment , it never manage to transcend <unknown> hagiography , with character whose name appear in the production credit <unknown> Dre , <unknown> and <unknown> widow <unknown> <unknown> <unknown> fare good onscreen . ',positive
'a marvelous technical achievement when the director finally get around to it . ',positive
'Mr. Redford <unknown> look like Dan Rather , but display the same dedication to <unknown> and respect for <unknown> journalism that he bring to the role of Bob Woodward in All the <unknown> Men . ',positive
'a ghost story in which superior <unknown> , costume and production design work together to put the audience in a trance . it be tough on actor not to get swallow up in the scenery . ',positive
'people have speak about how understate and old-fashioned Brooklyn be , to the extent that it might come across as a pleasant innocuous entertainment . <unknown> be fool . Brooklyn be not toothless . but it be <unknown> , romantic and beautiful . ',positive
'the movie , shoot in lovely , grainy <unknown> by cinematographer Ed Lachman , be so elegantly stage you can practically smell the <unknown> perfume . <unknown> direction be methodical and precise without be fussy or oppressive . every detail have be weigh and consider . ',positive
'a beautiful entity , near flawless in design , any talk of accolade certainly seem justified . ',positive
'ice-cold . dead eye . demonic laugh . his face a mask you ca n\'t read until he be up in yours . then run . that be Johnny Depp give everything he be get in a riveting , rattlesnake performance as South Boston gangster James Whitey Bulger in Black Mass. ',positive
'Abbott ( <unknown> most <unknown> <unknown> <unknown> <unknown> ) be a revelation , create a multidimensional character whose battle , sometimes uncontrollable emotion be clear in his warm and expressive eye . ',positive
'the animate humanism of <unknown> film be irreducible . <unknown> a wry tribute to the quality that get our specie into space in the first place : our resourcefulness , our curiosity and our outsized , ridiculous , beautiful brain . ',positive
'<unknown> call to mind the film of the 1970s <unknown> not necessarily the one we think of as <unknown> important , but the seamy , sweaty thriller that subtly slip in <unknown> message amid the violence . it mix <unknown> and <unknown> into a most satisfying cocktail . ',positive
'Zemeckis be a master of use effect , but his film sometimes <unknown> live up to them ... . the walk be different . the use of 3D , in particular , be so astonish it practically wipe your memory of the silliness go on in France as Petit be learn his trade . once Petit be on the wire , he be free , and the liberation be contagious . ',positive
'Everest may disappoint those look for a more awe-inspiring film with big vista and <unknown> stunt and act of surreal heroism . unlike many <unknown> storey , this be the kind that make you never want to look at a mountain again . ',positive
'Brooklyn showcase a number of appealing ingredient , but ultimately lack an adequate story to prop them up . ',positive
'no need to bury the <unknown> : spotlight be a masterpiece . ',positive
'Carol be a film you want to reach out and touch , if only you could reach anywhere near the top of the pedestal it be perch on . it be itself an unattainable love object , the goddess Venus disguise as a movie . ',positive
'failure hover over the film as much as it do in Schulz \'s comic strip , infuse even its most ebullient set piece and design with a sense of melancholy . ',positive
'the Good German , Steven Soderbergh \'s film noir homage , be nearly perfect when it come to style and tone , but it concentrate so single-mindedly on the mechanic of the narrative that it lose sight of its character . ',positive
'<unknown> a well-crafted , well-paced procedural drama about a monotonous psychopath . ',positive
'utterly uneasy to watch but strikingly and confidently assemble , the film be a powerful aural and visual experience that <unknown> quite manage to sustain itself over the course of its run time , but be a remarkable <unknown> and remarkably intense <unknown> experience nonetheless . ',positive
'the Martian really , truly work <unknown> not as art , necessarily , but as the sort of epic , intelligent entertainment the mainstream film industry have supposedly forget how to craft . All that , and the <unknown> a valentine to creative collaboration as well as an example of it . <unknown> enough to make you almost grateful . ',positive
'it would be swell if all of the Walk come together as beautifully as the computer effect do , but it would also be churlish not to appreciate what we do have . this film may not talk the talk , but it definitely walk the walk , and for that we be grateful . ',positive
'playful , absurd and endearingly inventive , this unstoppably amusing feature remind us why Britain \'s <unknown> <unknown> be a mainstay of the current cartooning golden age . ',positive
'Vanderbilt , the screenwriter of <unknown> , here make his debut as a director , master the heady pulse of high-end , high-stakes journalism . ',positive
'<unknown> sci-fi adventure be the kind of film you leave the theater itch to tell your friend to see . like Apollo @card@ and <unknown> , it turn science and problem solve into an <unknown> experience . ',positive
'the violence of the inter-American drug trade have serve as the backdrop for any number of film for more than three decade , but few have be as powerful and superbly make as <unknown> . ',positive
'if Johnny <unknown> mesmerize performance <unknown> a brace return to form for the star after a series of critical and commercial misfire <unknown> be the chief selling point of Black Mass , there be much else to recommend this sober , sprawling , deeply engross evocation of <unknown> South Boston fiefdom and his complex relationship with the FBI agent John Connolly , play with equally impressive skill by Joel Edgerton . ',positive
'<unknown> an unusual mix of big-picture issue , <unknown> pulp and pure , rough entertainment , bolster by one of the good ensemble cast of the year . this movie be not , <unknown> , fuss around . ',positive
'<unknown> almost too ruthless an achievement for its own good , in a way . it push its vision to the bitter end , eschew emotion , reflection , or intellectual framing as if ban at gunpoint from any such lapse . but these be the very dehumanise condition Saul be deal with , and the <unknown> brave choice be to follow them to the letter . ',positive
'the director and screenwriter downplay the conventional melodrama inherent in the situation in favor of emphasize how practical problem should be address with rational response rather than hysteria , knee-jerk patriotism or selfish expedience . ',positive
'Scott <unknown> Black Mass be a big , brash , horribly watchable gangster picture take from an extraordinary true story and conceive on familiar generic line . ',positive
'James White be never more move than when the filmmaker show his callow hero do the good he can : when James help his mom weather a particularly rough patch , for instance , with what amount to real-life bedtime storey . imagine happy scene he be pretty sure she will never see <unknown> of James all grow up . ',positive
'Del <unknown> predictably impeccable production design and tonal flourish help bring the film to life , aid by strong performance from his lead , especially Jessica Chastain , who give the otherwise reverent proceeding just the right amount of jolt . ',positive
'a beautifully murky , hard-edged thriller . quite simply , one of the good film of the year . ',positive
