% Ceci represente la classification de critiques de films en fonction de leur jugement.

@relation critiques
@attribute contenu string
@attribute classe {positive, mixed, negative}

@data
'so many joyously minimal ',positive
'once again gripping never own moral not easy riveting essential ',positive
'delightful stop-motion animated not ',positive
'modern-day existential ',positive
'never quite early nonetheless always ',positive
'genuine complex difficult easy also great dense practically ',positive
'great consistently enjoyable ',positive
'',positive
'major not there creepy here now not least there then ',positive
'sweeping great ',positive
'even mild powerful engaging compelling young black in ',positive
'abrasive contemporary more accurately recent jagged ',positive
'just supernatural just just many red first crusty ',positive
'same constant last visual nonetheless rare effective focused ',positive
'visually vivid solid not ',positive
'n\'t only ',positive
'deeply sometimes literally ',positive
'here good good only so far ',positive
'more interesting controversial inside grimy creative ',positive
'very well high ',positive
'true worth happy alike ',positive
'often also radical ',positive
'crazy scraggly ',positive
'equal fully visual assured small impressively rigorous ',positive
'admirable difficult eventual melodramatic ',positive
'often good old-time most ',positive
'really first dizzying early so strong n\'t lucky ',positive
'perfect uniformly superb sharp zippy only occasionally ',positive
'effective physical subsequent ',positive
'creative most elementary considerable together almost perfectly ',positive
'never perfect perfect perfect abruptly together true ',positive
'not simply good urgent important ',positive
'least superb lovely ',positive
'only combined powerfully ',positive
'amiably enough well more ',positive
'German weary deliberately reminiscent ',positive
'tentacled continually ',positive
'stop-motion never episodic true emotional ',positive
'not powerful ',positive
'polished procedural old-fashioned chiefly smart scrappy systematic ',positive
'masterful away certain ',positive
'straight most potent ever ',positive
'not iconic topical supremely intelligent heartfelt ',positive
'never more here adrift ',positive
'wrong most frustrating ever usually big ',positive
'crimson so visually stunning scary ',positive
'simple own likely too interested ',positive
'exciting no-nonsense little totally great ',positive
'straight as infectiously entertaining educational richly textured thumping ',positive
'surprising even wondrous often precisely crooked ',positive
'intimate pitch-dark subject only alive not only inner own shared ',positive
'bizarre surreal far out always paradoxically real deeply true ',positive
'deeply satisfying intense spectacular typically other especially middle frustratingly self-indulgent ',positive
'comic late undoubtedly true artistic ',positive
'rigorously realistic ',positive
'shocking effective dry brown ',positive
'most purely enjoyable streamlined consistent easy ',positive
'Italian artfully ',positive
'not ',positive
'authentic intimate ',positive
'sophisticated such ',positive
'such stately evocative confident only also chilly ',positive
'great there certainly good also ',positive
'most gradual grueling first then ',positive
'gripping superlative solid procedural ',positive
'spectacular ',positive
'possible heartwarming tough-minded wonderful possible vibrant too good ',positive
'good still strong energetic uneven ',positive
'many favorite so far ',positive
'moral away instead deft perceptive ',positive
'not black male mild ',positive
'hard few alive ',positive
'thrilling seemingly own ',positive
'unevenly fact-based full even ',positive
'thumping same next many religious ',positive
'many nevertheless straightforward internal ',positive
'unusual false ',positive
'out strong quickly then apart ',positive
'sombre hypnotic single along most ',positive
'guiding brisk charming here stand-alone ',positive
'high wounded rather ',positive
'extraordinary noble high blunt businesslike long ',positive
'unsurprisingly real ',positive
'back wistful resonant wry honest cinematic ',positive
'gently nostalgic new reassuring emotional ',positive
'involuntary comic sparse finicky somewhat bouffant ',positive
'compelling ',positive
'now accustomed back well creative innovative narrative dormant technical cinematographic not always great almost always quite ',positive
'most majestic real dazzling digital ',positive
'profound simple familiar achingly bittersweet ',positive
'gorgeous gently groundbreaking sad ever more hugely exquisite American very specific risky most necessary ',positive
'decent never deep enough genuine ',mixed
'colourful smart sharp delightful visual appealing ',mixed
'all too dumb ribald most well ',mixed
'sinister far perfect rare much modern ',mixed
'gruff ',mixed
'last complex aptly further stolid even criminally limited even macho entirely plausible ',mixed
'entire rather devastating eternal ',mixed
'almost never creative detailed massive late definitely not ',mixed
'humourless genuinely such full good recent alternately too excruciating ',mixed
'consistently off ever ',mixed
'most curious real sexual much less opportunistic past yet fairly mildly engaging ',mixed
'crimson gorgeous ',mixed
'sumptuous pitch-black misbegotten large so closely ',mixed
'as thin ',mixed
'tautly instead too much narrative ',mixed
'nonetheless strong wacky wildly absurd ',mixed
'sinister much ',mixed
'good German brilliant even not merely dead most sincerely dead other there as ',mixed
'good n\'t entirely restless ',mixed
'nearly so wacky grotesque down romantic ',mixed
'only more less ',mixed
'evil also most potent little about horribly horribly wrong sentient poor ',mixed
'intriguing ultimately sinister snakelike criminal ',mixed
'perilous vertiginous much more ',mixed
'deftly young unlikely ',mixed
'so many too busy hot big ',mixed
'crimson astonishing n\'t back emotional lurid ',mixed
'close appreciative enjoyably familiar inspired smart ',mixed
'n\'t sweet homespun broadly solid ',mixed
'monumental fascinating flip upcoming Prize-winning sexual Catholic instead not ',mixed
'eventually more tolerable impossible bracingly pragmatic ',mixed
'valiant even never big maybe imaginative enough ',mixed
'hard almost as same long ideally distracting ',mixed
'barely old quickly ',mixed
'not as terrifying Norwegian black still good recent ',mixed
'attractive daunting odd ',mixed
'passable else well ',mixed
'first-rate icebound strangely abstract genuine first-rate ',mixed
'twisty juicy compelling staid political thematic as satisfyingly ',mixed
'grim even grim quiet more complicated subtle ',mixed
'good ',mixed
'sometimes steep quite ',mixed
'sheer sepulchral most well-nigh ',mixed
'far bad most disappointing wonderful delicious classic simply n\'t ',mixed
'less strong ',mixed
'many more juvenile less polished less previous ',mixed
'so much certainly also dispiritingly riskless ',mixed
'never capably decently important ',mixed
'extroverted acting so self-conscious ',mixed
'clear once too too thin as real-life so unruly dangerous ',mixed
'long short easygoing small-town ',mixed
'straight bloated melodramatic still early just powerful really ',mixed
'relatively well here interesting only captive ',mixed
'good painfully sincere animated less contemporary nostalgic 50th ',mixed
'ferocious steely genuine ',mixed
'ultimately though vague languid ',mixed
'high-class down fine noisy converted even ',mixed
'implausible too heavy ',mixed
'good there ',mixed
'sinister ambitious good dumb repetitive ',mixed
'first simply back well ahead ',mixed
'airless visual mannered good though pretty tame ',mixed
'even often as monotonous still almost capable loyal ',mixed
'dirty enough as ',mixed
'shiny enough not so new nostalgic here there ',mixed
'unfortunately promising merely thoroughly generic much last big long dispiriting thereafter largely ',mixed
'sinister short creative probably enough right partial ',mixed
'extended not ',mixed
'easy arrant heavy-handed even easy persuasive emotional lead not so much as ',mixed
'generally frail indeed barely ',mixed
'enterprising entirely ',mixed
'promising prosaic ',mixed
'least entertaining messily propulsive ultimately dominant red-blooded never dull ',mixed
'not much just rather high ',mixed
'sweet smart charming not much more cute ',mixed
'profoundly conservative Christian ideological classic paranoid certainly unique targeted specifically ',mixed
'high-end inventive urban carefully futuristic all very well little loose more more grimy more ',mixed
'ultimately gentle probably handsomely also tacit ',mixed
'premature nimble fellow also purely unfunny ',mixed
'overall gorgeous nostalgic definitely final ',mixed
'here retrograde easy fantastical ',mixed
'decent aside choral ',mixed
'as bland all-purpose more serious young black gifted fabulously wealthy much far good heavy more ',mixed
'ultimately relentless ',mixed
'ultimately decent great unfortunately short ',mixed
'preposterous good serviceable jerky ',mixed
'patchy only finally still 3D touching ',mixed
'third indifferent ultimately disappointing little really ',mixed
'however flavorsome though seriously deficient narrative lovingly carefully fatally insipid slack perfunctory ',mixed
'only unscathed convincing not enough again ',mixed
'well deep high intrinsic actually really right now ',mixed
'idiotic predictably lackluster ',mixed
'only more boring actual ',mixed
'noble harshly realistic also overly melodramatic good ',mixed
'vividly particularly never crucial ',mixed
'plus high quickly nearly climactic really scary though especially so predictable ',mixed
'impossible not somewhat oddly horrific underwhelming ',mixed
'even most enduring interesting ',mixed
'admittedly unbelievable so understandable sadly especially crucial ',mixed
'instead mostly dull proof n\'t ',mixed
'striking clever effective simply familiar slightly less shallow ',mixed
'hard overall ',mixed
'other readily corruptible reluctantly innocent genuine sisterly long too bad too hard not hard enough ',mixed
'new fascinating charming curious too seemingly hard wonderfully right then easy ',mixed
'white such surely not merely fairly slickly ',mixed
'once cautionary apparently too ill corny stilted really off ',mixed
'high as handsome technical good German failed ',mixed
'n\'t gritty light final wonky particularly particularly ',mixed
'n\'t ',mixed
'nearly high ',mixed
'light comic early final ',mixed
'very ominous inconsistent pretty well still just more less ',mixed
'interesting even prosaic full deep disturbing enduring only ',mixed
'though much flat taut visceral never ',mixed
'still even always up ',mixed
'competently dissonant ',mixed
'pretty pedestrian so-so serviceable instead ',mixed
'little dramatic instead inert ',mixed
'pleasant charming beloved classic genuine adequate n\'t quite enough ',mixed
'crackerjack so-so least intentional deep altogether ',mixed
'first-time perhaps apt here so solidly ',mixed
'not gleefully teen ',mixed
'new n\'t either ',mixed
'not n\'t entertaining inventive either gloriously great gloriously terrible though ',mixed
'barely only about almost legitimate ',mixed
'fresh relevant maybe ',mixed
'gritty rough ',mixed
'last pulpy never funny detailed even elsewhere ',mixed
'prime highly skilled intelligent nevertheless ',mixed
'competent basic distinctly chilly European ',mixed
'first big ',mixed
'bitter solid other utterly familiar ',mixed
'ghostly right red black receptive wildly overboard English ',mixed
'visually splendid few main distinct ',mixed
'still animated ',mixed
'fine blonde naturalistic ',mixed
'frustrating many quite many moderately engaging centrally powerful ',mixed
'well-intentioned ',mixed
'own unrepentant all Zen-like adolescent ',mixed
'undiluted titular pale unhallowed dry long half-hearted ',mixed
'aflame awash undeniably ravishing yet ultimately disappointing own sanguine below ',mixed
'unfortunately unbridled n\'t similar other low worthwhile ',mixed
'serious soapy least opportune ',mixed
'fascinating ',mixed
'technically stunning narratively thematically hollow ',mixed
'likable satisfyingly high ',mixed
'undeniable narrative ',mixed
'really very little maybe even deeper still several live powerful tough entirely ',mixed
'down gross-out hilarious else ',mixed
'human real ',mixed
'flashy aggressively superficial likely ',mixed
'not even occasional endlessly red red flaming crimson gorgeous red-blooded ',mixed
'blood-soaked practically promotional ',mixed
'strong tight admirable worthy new ',mixed
'not rather straightforward hard ',mixed
'distant storytelling narrative ',mixed
'other good German as emotionally cold unconvincing ',mixed
'no ambitious wholly original far new never necessary ',mixed
'silly as far not much ',mixed
'sprawling great instead up just pretty good ',mixed
'flabby repetitive exquisite sonic not ',mixed
'dodgy tentative uncertain as own complicated journalistic ',mixed
'crimson visionary busy truly ',mixed
'usually inspired perfectly ambitious very beautiful high-minded remote ',mixed
'visual here absurd ',mixed
'skillful overly reliant borrowed especially first-rate secondhand half-baked more costume costume ',mixed
'much less so good ',mixed
'creepily effective more unnecessary organic original ',mixed
'alternately up-to-the-minute relevant as well self-indulgent much heroic more ',mixed
'most right together gritty melancholic southern unique ',mixed
'mild least ',mixed
'maybe so much boring directionless so little comprehensible many ',mixed
'largely minimal together ',mixed
'once thinly maddeningly irreverent over-serious chock-full strained other creepy elaborate strangely compelling ',mixed
'',mixed
'wide-eyed human enough black even partway ',mixed
'testimonial together only ',mixed
'always narrative secondary fortunate home mostly ',mixed
'Christian dramatic forward well-appointed as ',mixed
'disappointingly modest visual ',mixed
'classical principally own ',mixed
'n\'t strong young barren narrative ',mixed
'last big overblown frequently incomprehensible ',mixed
'occasionally little too own still grown-up muscular same ',mixed
'still here nearly as ',mixed
'less desperate own harmless far less crude big sexual ',mixed
'not ',mixed
'thin rather famous ',mixed
'aside few symbolically little overlong ',mixed
'only partly mostly few uncontrollable confident not elaborate almost totally ',mixed
'appealing likely only unquenchable ',mixed
'',mixed
'more potent thematic relentlessly insular ',mixed
'here easily many ',mixed
'stellar apparently interested popular red as well down relatively easy empty ',mixed
'first-time enticingly dark first steadily downward ',mixed
'too much here simple apocalyptic plenty ',mixed
'English major real-life largely simplistic straight out white well ',mixed
'much straightforward sweet hard-working predictable ',mixed
'awful least professional ',mixed
'good creepy beta patchwork about ',mixed
'occasionally restless ',mixed
'straight n\'t entirely ugly instead ',mixed
'old still new just flimsy classic ',mixed
'curious grim gory ninth striking sorely great capable so much more ',mixed
'first two-and-a-half west second ',mixed
'exactly dark bad ',mixed
'good as ',mixed
'rather most well-traveled ',mixed
'rare practically just tall up discreetly poignant ',mixed
'here ironically generic somehow big instead ',mixed
'together crude slapdash ',mixed
'strong barely ',mixed
'valiant never quite dizzy emotional final visually though stunning ',mixed
'n\'t nearly as bad still not good ',mixed
'recent sharp-witted nostalgic only black jagged yellow up down ',mixed
'crimson formulaic as contented Gothic ',mixed
'odd noble right busy before now n\'t ',mixed
'little less ',mixed
'compelling cosmetic only overwrought ',mixed
'ultimately not grimly efficient wonderful even never quite dizzying ',mixed
'convincing addicted decent dramatic somewhat mildly religious ',mixed
'there even quickly repetitive ',mixed
'Australian mean nasty more brutish American roughly preposterous routinely ',mixed
